Identifiant,Nom_officiel,Adresse,Code_postal,Ville,Departement,Region,Coordonnees,Categorie,Domaine_thematique,Themes,Protection_batiment,Protection_espace,URL,Date_de_mise_a_jour
M1128,musée des sapeurs-pompiers de Lyon,358 avenue de Champagne,69009,Lyon,Rhône,Auvergne-Rhône-Alpes,"45.790491, 4.797411",Inconnu,Ethnologie;Histoire;Technique et industrie,"Armes, Uniformes, Véhicules pompiers, Archives papier, Photographie, Costume, Histoire, Industrie",Inconnu,Inconnu,museepompiers.com/,2025-07-25
M0001,musée de la Folie Marco,30 rue du docteur Sultzer,67140,Barr,Bas-Rhin,Grand Est,"48.410166, 7.451102",Musée de site,Arts décoratifs,"Arts décoratifs : Mobilier, Objets d'art",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00084599,Abords d'un Monument historique. Site inscrit.,www.musee-foliemarco.com,2025-07-25
M0002,musée de La Poterie,2 rue de Kuhlendorf,67660,Betschdorf,Bas-Rhin,Grand Est,"48.900348, 7.914409",musée en milieu rural,Arts décoratifs;Technique et industrie;Ethnologie,Arts décoratifs : Céramique,Inconnu,Inconnu,www.betschdorf.com/vie-culturelle-et-associative/musee-de-la-poterie,2025-07-25
M0003,musée du Pays de Hanau - histoire et vies d’un territoire,3 place du château,67330,Bouxwiller,Bas-Rhin,Grand Est,"48.824977, 7.482915",écomusée ; musée en milieu rural,Archéologie;Ethnologie;Histoire;Sciences de la nature,"Art religieux (Art protestant);Arts décoratifs : Mobilier;Beaux-Arts : Peinture;Collections militaires : Armes, Uniformes, Armures;Autres collections : Fonds ancien d'imprimés, Numismatique, Philatélie;Ethnologie : Costume, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Biographie;Musique : Instruments;Sciences de la nature : Minéralogie, Paléontologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00084643,Inconnu,www.museedupaysdehanau.eu,2025-07-25
M0004,musée alsacien,1 place Joseph Thierry,67500,Haguenau,Bas-Rhin,Grand Est,"48.814611, 7.789527",Inconnu,Ethnologie;Histoire;Technique et industrie,"Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils",Inconnu,Abords d'un Monument historique.,www.ville-haguenau.fr/musee-alsacien,2025-07-25
M0005,musée historique,9 rue du maréchal Foch,67500,Haguenau,Bas-Rhin,Grand Est,"48.812831, 7.791481",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Histoire;Photographie,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Arts décoratifs : Céramique, Orfèvrerie;Autres collections : Fonds ancien d'imprimés, Numismatique, Plans, Sigillographie;Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale",Inconnu,Inconnu,www.ville-haguenau.fr/musee-historique,2024-02-07
M0006,musée de la chartreuse,4 cour des Chartreux,67120,Molsheim,Bas-Rhin,Grand Est,"48.54278, 7.49023",Inconnu,Archéologie;Histoire,"Archéologie nationale : Préhistoire, Protohistoire, Paléo-chrétien;Art religieux;Ethnologie : Métiers et Outils;Histoire : Histoire religieuse",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00084796?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22chartreuse%22&ou=%5B%22Molsheim%22%5D&last_view=%22list%22&idQuery=%220c24a-824-4a8-53be-0c55ff26f8%22,Abords d'un Monument historique.,www.chartreuse-molsheim.info,2024-01-25
M0008,maison de l'archéologie des Vosges du Nord,44 avenue Foch,67110,Niederbronn-Les-Bains,Bas-Rhin,Grand Est,"48.947444, 7.650428",musée en milieu rural,Archéologie;Technique et industrie,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval, Moderne;Sciences et techniques : Industrie (Cordrie, fourneau De Dietrich),",Inconnu,Inconnu,www.niederbronn-les-bains.fr/culture-et-loisirs/maison-de-l-archeologie.html,2025-04-11
M0010,musée de l'Image Populaire,24 rue du docteur Albert Schweitzer,67350,Val-de-Moder,Bas-Rhin,Grand Est,"48.844834, 7.611365",Inconnu,Beaux-arts;Ethnologie,"Art religieux;Arts décoratifs : Textiles (images réalisées au point de croix);Beaux-Arts : Peinture (ex voto);Collections militaires (numéros de conscription et souvenirs de régiment.), Uniformes, Armures;Autres collections : Manuscrits, incunables;Ethnologie (imagerie en bois gravée.)",Inconnu,Inconnu,www.commune-valdemoder.fr/culture-loisirs/musee-de-l-image-populaire,2025-07-29
M0011,musée historique et industriel - musée du fer,9 rue Jeanne d'Arc,67110,Reichshoffen,Bas-Rhin,Grand Est,"48.932234, 7.664814",Inconnu,Archéologie;Histoire;Technique et industrie,Histoire : Histoire locale et régionale;Sciences et techniques : Industrie (Sidérurgie),Inconnu,Site patrimonial remarquable. Abords d'un Monument historique.,www.reichshoffen.fr/Le-Musee-Historique-et-Industriel.html,2024-01-25
M0012,musée du Château des Rohan,place du général de Gaulle,67700,Saverne,Bas-Rhin,Grand Est,"48.741958, 7.362787",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Histoire;Photographie;Sciences de la nature;Ethnologie,"Archéologie nationale : Préhistoire, Gallo-romain, Médiéval;Art religieux (Art chrétien);Arts décoratifs : Mobilier, Objets d'art;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Collections militaires : Armes, Uniformes, Armures;Photographie, Numismatique;Ethnologie : Costume;Histoire : Histoire locale et régionale, Histoire militaire, Biographie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00084953?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Rohan%22&ou=%5B%22Saverne%22%5D&last_view=%22list%22&idQuery=%227f68f-d075-6d52-cb86-8707255e4c%22,Inconnu,www.saverne.fr/sport-culture/offre-culturelle/musee-de-saverne/,2024-02-07
M0013,cabinet des estampes et des dessins,5 place du château,67076,Strasbourg,Bas-Rhin,Grand Est,"48.5812366410149, 7.750544327135451",Inconnu,Arts décoratifs;Beaux-arts;Histoire,"Art religieux (Art chrétien, paléo-chrétien, juif et protestant);Arts décoratifs : Textiles;Arts du spectacle : Cirque, Danse, Théâtre et Opéra;Beaux-Arts : Dessin, Estampe et Affiche;Civilisations extra-européennes : Asiatiques;Collections militaires : Uniformes, Armures, Autre(s), (Machines de guerre);Autres collections : Fonds ancien d imprimés, Manuscrits, incunables, Numismatique;Ethnologie : Costume, Mobilier, Métiers et Outils, Pratiques religieuses et collectives, Autre(s),  (Jeux et jouets);Histoire : Histoire locale et régionale, Histoire religieuse, Histoire militaire, Biographie;Musique : Souvenirs de compositeurs et interprètes;Sciences fondamentales : Astronomie;Sciences de la nature : Botanique, Entomologie, Ornithologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085184?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22mus%C3%A9e%22&ou=%5B%22Strasbourg%22%5D&last_view=%22list%22&idQuery=%221fa210-b663-a044-c42c-3680ac3533a%22,Site patrimonial remarquable. Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.,www.musees.strasbourg.eu/cabinet-des-estampes-et-des-dessins,2024-02-07
M0014,musée Alsacien,23 quai Saint-Nicolas,67000,Strasbourg,Bas-Rhin,Grand Est,"48.579075, 7.750484",Inconnu,Arts décoratifs;Ethnologie;Histoire;Technique et industrie,"Photographie;Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils, Pratiques religieuses et collectives",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085182?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22mus%C3%A9e%22&ou=%5B%22Strasbourg%22%5D&last_view=%22list%22&idQuery=%22ac16ce1-41a5-2f8-d7c-31bf5d16bf3e%22,Site patrimonial remarquable.  Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.,www.musees.strasbourg.eu/musee-alsacien,2024-01-25
M0015,musée archéologique,2 place du château,67000,Strasbourg,Bas-Rhin,Grand Est,"48.581229, 7.751984",Inconnu,Archéologie,"Antiquités étrangères : Grecques et romaines, Egyptiennes, Orientales;Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval (Gestion administrative des collections d'archéologie médiévale déposées au musée historique)",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085184?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22mus%C3%A9e%22&ou=%5B%22Strasbourg%22%5D&last_view=%22list%22&idQuery=%22758271-0fbd-b578-641-afde27fbc26%22,Site patrimonial remarquable. Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.,www.musees.strasbourg.eu/musee-archeologique,2024-02-07
M0016,musée d'art moderne et contemporain de Strasbourg,1 place Hans Jean Arp,67000,Strasbourg,Bas-Rhin,Grand Est,"48.579654, 7.736231",Inconnu,Arts décoratifs;Art moderne et contemporain;Photographie,"Art moderne et contemporain;Arts décoratifs : Mobilier, Objets d'art;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture, Photographie",Inconnu,Site patrimonial remarquable.,www.musees.strasbourg.eu/musee-d-art-moderne-et-contemporain,2024-01-25
M0017,musée de l'Œuvre Notre-Dame,3 place du château,67076,Strasbourg,Bas-Rhin,Grand Est,"48.580983049139164, 7.7513911134929225",Inconnu,Arts décoratifs;Beaux-arts,"Arts décoratifs : Mobilier, Orfèvrerie (Objets d'art), Textiles (Tapisseries), Verrerie (Vitraux);Beaux-Arts : Dessin (Non exposés), Estampe et Affiche (Non exposé), Peinture, Sculpture",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085099?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Dame%22&ou=%5B%22Strasbourg%22%5D&last_view=%22list%22&idQuery=%22308afd1-3308-003-ccbc-1858b7c88ea2%22,Site patrimonial remarquable. Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.,www.musees.strasbourg.eu/musee-de-l-oeuvre-notre-dame,2024-02-08
M0018,musée des Arts Décoratifs,2 place du château,67000,Strasbourg,Bas-Rhin,Grand Est,"48.581229, 7.751984",Inconnu,Arts décoratifs,"Arts décoratifs : Céramique, Mobilier, Horlogerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Musique : Instruments",Inconnu,Site patrimonial remarquable. Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.,www.musees.strasbourg.eu/musee-des-arts-decoratifs,2024-02-07
M0019,musée des Beaux-Arts,2 place du château,67000,Strasbourg,Bas-Rhin,Grand Est,"48.581229, 7.751984",Inconnu,Beaux-arts,"Beaux-Arts : Peinture, Sculpture",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085184?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22mus%C3%A9e%22&ou=%5B%22Strasbourg%22%5D&last_view=%22list%22&idQuery=%22758271-0fbd-b578-641-afde27fbc26%22,Site patrimonial remarquable. Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.,www.musees.strasbourg.eu/musee-des-beaux-arts,2024-02-07
M0020,musée historique,2 rue du vieux marché aux poissons,67000,Strasbourg,Bas-Rhin,Grand Est,"48.580579, 7.749714",Inconnu,Archéologie;Arts décoratifs;Histoire;Militaria,"Archéologie nationale : Médiéval;Collections militaires : Armes, Uniformes, Armures, Véhicules;Histoire : Musée thématique, Histoire locale et régionale",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085040?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22boucherie%22&ou=%5B%22Strasbourg%22%5D&last_view=%22list%22&idQuery=%22f48c37-3077-ecd0-72ee-d64fa1324a6%22,Site patrimonial remarquable. Patrimoine mondial de l'UNESCO. Abords d'un Monument historique.,www.musees.strasbourg.eu/musee-historique,2024-02-07
M0021,musée Oberlin,25 montée Oberlin,67130,Waldersbach,Bas-Rhin,Grand Est,"48.414759, 7.214925",maison des Illustres ; musée en milieu rural,Histoire;Sciences de la nature,Biographie,Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/IA67013073?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Waldersbach%22%5D&last_view=%22mosaic%22&idQuery=%2276c68-383f-afd5-1d54-3c365a81e07e%22,Inconnu,musee-oberlin.org,2025-04-11
M0022,musée Westercamp,1-3 rue du musée,67160,Wissembourg,Bas-Rhin,Grand Est,"49.038815, 7.944344",Musée de site,Archéologie;Ethnologie;Histoire,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Art religieux (Art chrétien, objets judaïques de la vie quotidienne);Arts décoratifs : Mobilier;Beaux-Arts : Peinture;Civilisations extra-européennes : Africaines, Asiatiques;Collections militaires : Uniformes, Armures;Photographie, Numismatique;Ethnologie : Costume, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Histoire militaire;Musique : Instruments;Sciences et techniques (Imagerie populaire)",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085261,Site patrimonial remarquable. Parc naturel régional.,webmuseo.com/ws/musee-wissembourg/app/report/index.html,2025-03-06
M0023,musée de la bataille du 6 août 1870,2 rue du moulin,67360,Woerth,Bas-Rhin,Grand Est,"48.938618, 7.747992",musée en milieu rural,Histoire,"Beaux-Arts : Peinture;Collections militaires : Armes, Uniformes, Armures, Autre(s),  (Diorama de 4 000 figurines en étain peintes à la main (bataille de Reichsoffen), );Histoire : Histoire locale et régionale, Histoire militaire",Protégé au totre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA67000061,Abords d'un Monument historique. Parc naturel.,webmuseo.com/ws/musee-woerth/app/report/index.html,2025-04-11
M0024,musée Sundgauvien,1 rue de l'hôtel de ville,68130,Altkirch,Haut-Rhin,Grand Est,"47.623329, 7.237204",Inconnu,Archéologie;Arts décoratifs,"Archéologie nationale : Préhistoire, Gallo-romain, Médiéval;Arts décoratifs : Mobilier;Beaux-Arts : Dessin, Peinture, Sculpture;Collections militaires : Armes;Numismatique;Ethnologie : Costume, Mobilier, Métiers et Outils, Pratiques religieuses et collectives, Jeux et jouets;Histoire : Biographie (Poète Nathan Katz : 1 500 ouvrages);Sciences de la nature : Malacologie, Conchyliologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085319,Inconnu,altkirch-alsace.fr/musee-sundgauvien/,2024-01-25
M0025,musée gallo-romain,place de la mairie,68600,Biesheim,Haut-Rhin,Grand Est,"48.041667, 7.54802",musée de site ; musée en milieu rural,Archéologie;Histoire,Archéologie nationale : Gallo-romain,Inconnu,Inconnu,www.biesheim.fr/culture-loisirs/musee-gallo-romain/,2025-04-11
M0026,musée de la Porte de Thann,rue de Thann,68700,Cernay,Haut-Rhin,Grand Est,"47.809586, 7.174264",Musée de site : Site archéologique,Archéologie;Histoire,"Art religieux (Art chrétien);Collections militaires : Uniformes, Armures;Histoire : Histoire locale et régionale, Histoire militaire;Sciences et techniques : Sciences médicales",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085359,Inconnu,www.musee-cernay.org/,2023-04-12
M0027,musée Bartholdi,30 rue des marchands,68000,Colmar,Haut-Rhin,Grand Est,"48.076747, 7.357746",Maison musée. Maison des Illustres.,Beaux-arts,"Art religieux (art juif);Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Autres collections : Photographie;Histoire : Biographie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085403?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Colmar%22%5D&last_view=%22mosaic%22&idQuery=%22232322-3c1-34e3-df2-f6ef1a65bcc%22,Site patrimonial remarquable. Abords d'un Monument historique.,www.musee-bartholdi.fr/,2024-02-07
M0028,musée d'Unterlinden,place Unterlinden,68000,Colmar,Haut-Rhin,Grand Est,"48.079918, 7.355464",Inconnu,Archéologie;Arts décoratifs;Art moderne et contemporain;Beaux-arts;Ethnologie;Histoire;Photographie,"Antiquités étrangères : grecques et romaines;Archéologie nationale : préhistoire, protohistoire, gallo-romain, médiéval;Art religieux (art catholique et protestant);Arts décoratifs : orfèvrerie, étain, céramique, mobilier;Beaux-Arts : dessin, estampe et affiche, peinture, sculpture;Collections militaires;Ethnologie : costume, habitat, mobilier, métiers et outils;Histoire : histoire locale et régionale;Musique : instruments",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085365?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&listResPage=3&ou=%5B%22Colmar%22%5D&resPage=3&last_view=%22list%22&idQuery=%220335ab-6185-7330-ce2b-362c4c8cd84%22,Site patrimonial remarquable. Site classé.,www.musee-unterlinden.com/,2024-02-07
M0029,musée Théodore Deck et des pays du Florival,1 rue du quatre février,68500,Guebwiller,Haut-Rhin,Grand Est,"47.905522, 7.214504",Inconnu,Arts décoratifs;Histoire,"Archéologie nationale : Préhistoire, Médiéval;Art religieux (des XVIIIe et XIXe siècles);Arts décoratifs : Céramique;Beaux-Arts : Sculpture (du XVe au XIXe siècles);Sciences de la nature : Géologie (locale.), Minéralogie (minéraux des Vosges)",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085441?base=%22merimee%22&listResPage=4&qb=%5B%7B%22field%22%3A%5B%22ACTU.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22mus%C3%A9e%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%5D&resPage=4&last_view=%22list%22&idQuery=%22a5554fc-b77-acc4-00f4-b6f5ca3c4dd%22,Abords d'un Monument historique.,www.ville-guebwiller.fr/culture/lieux-culturels/musee-theodore-deck-des-pays-du-florival/,2024-02-07
M0030,musée Historique et Militaire,6 rue des boulangers,68330,Huningue,Haut-Rhin,Grand Est,"47.591513, 7.584985",Inconnu,Histoire,"Archéologie nationale : Moderne;Arts décoratifs : Mobilier;Collections militaires : Armes, Uniformes, Armures;Ethnologie : Costume, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Histoire militaire",Inconnu,Inconnu,www.ville-huningue.fr/fr/musee-historique-et-militaire/,2024-02-07
M0031,musée historique,64 rue du général de Gaulle,68240,Kaysersberg,Haut-Rhin,Grand Est,"48.139072, 7.261441",Inconnu,Archéologie;Arts décoratifs;Beaux-Arts;Histoire,Archéologie nationale : Protohistoire;Art religieux (Art chrétien);Beaux-Arts : Sculpture;Collections militaires : Armes (Fusils anciens);Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale,Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085485,Site inscrit.,www.kaysersberg-vignoble.fr/musee-historique,2024-01-25
M0032,musée du vignoble et des vins d'Alsace,9 rue de l'ours,68770,Kientzheim,Haut-Rhin,Grand Est,"48.126069, 7.280128",Inconnu,Ethnologie;Histoire,"Ethnologie : Métiers et Outils;Histoire : Histoire locale et régionale;Sciences et techniques : Agro-alimentaire (Histoire des techniques vini-viticultures en Alsace),",Inconnu,Inconnu,www.musee-du-vignoble-alsace.fr/,2024-02-07
M0033,musée des Beaux-Arts,4 place Guillaume Tell,68100,Mulhouse,Haut-Rhin,Grand Est,"47.745774, 7.338271",Inconnu,Art moderne et contemporain;Beaux-arts,Beaux-Arts : Peinture;Art moderne et contemporain,Inconnu,Site patrimonial remarquable.,musees-mulhouse.fr/musees/musee-des-beaux-arts/,2024-02-07
M0034,musée Historique,place de la réunion,68100,Mulhouse,Haut-Rhin,Grand Est,"47.746642, 7.338434",Inconnu,Archéologie;Ethnologie;Histoire,"Antiquités étrangères : Grecques et romaines (vases);Archéologie nationale : Préhistoire, Protohistoire;Arts décoratifs : Céramique, Mobilier, Textiles, Verrerie;Beaux-Arts;Autres collections : Archives papier;Ethnologie : Costume, Habitat, Pratiques religieuses et collectives;Histoire : Biographie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085528?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22h%C3%B4tel%20de%20ville%22&ou=%5B%22Mulhouse%22%5D&last_view=%22list%22&idQuery=%2206470e4-4f51-4474-dcc4-2b7ca204d1d%22,Site patrimonial remarquable.,musees-mulhouse.fr/musees/musee-historique/,2024-02-07
M0035,musée national de l'automobile - collection Schlumpf,192 avenue de Colmar,68051,Mulhouse,Haut-Rhin,Grand Est,"47.76161416701042, 7.327893525261629",Inconnu,Technique et industrie,Sciences et techniques : Transports terrestres,Inconnu,Site patrimonial remarquable.,www.citedelautomobile.com/,2024-01-25
M0036,musée Français du Chemin de Fer,2 rue Alfred de Glehn,68200,Mulhouse,Haut-Rhin,Grand Est,"47.732372, 7.312824",Inconnu,Technique et industrie,"Beaux-Arts : Dessin, Estampe et Affiche, Peinture;Ethnologie : Costume, Métiers et Outils, Jeux et jouets;Sciences et techniques : Transports terrestres",Inconnu,Site patrimonial remarquable.,www.citedutrain.com/,2024-01-25
M0037,musée de l'Impression sur Etoffes,14 rue Jean-Jacques Henner,68072,Mulhouse,Haut-Rhin,Grand Est,"47.74501942419962, 7.345379580548642",Inconnu,Arts décoratifs;Beaux-Arts;Histoire;Technique et industrie;Ethnologie;Afrique,"Arts décoratifs (Collection textile : 50 000 tissus, centre de documentation : 3 millions d'échantillons), Mobilier, Textiles (Etoffes), Objets d'art;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Photographie;Ethnologie (Vie quotidienne);Histoire : Période historique (XXe siècle), Histoire locale et régionale",Inconnu,Site patrimonial remarquable. Abords d'un Monument historique.,www.musee-impression.com/,2024-01-25
M0038,musée du Sapeur-Pompier,12-14 rue de Luppach,68480,Vieux-Ferrette,Haut-Rhin,Grand Est,"47.504301, 7.304287",musée de site ; musée en milieu rural,Histoire;Photographie;Technique et industrie,"Autre(s),  (Sapeurs-pompiers),",Inconnu,Inconnu,www.musee-sapeur-pompier.fr/,2025-04-11
M0039,musée Electropolis,55 rue du pâturage,68200,Mulhouse,Haut-Rhin,Grand Est,"47.749441, 7.295058",Inconnu,Arts décoratifs;Histoire;Sciences fondamentales;Technique et industrie,"Architecture et urbanisme;Arts décoratifs (Objets d'éclairage);Arts du spectacle : Cinéma;Autres collections : Archives papier, Fonds ancien d'imprimés, Photographie;Ethnologie : Métiers et Outils;Histoire : Musée thématique;Sciences fondamentales : Physique;Sciences et techniques : Sciences médicales, informatique, électricité,",Inconnu,Site patrimonial remarquable.,www.musee-electropolis.fr/,2024-02-07
M0040,musée Vauban,porte de Belfort,68600,Neuf-Brisach,Haut-Rhin,Grand Est,"48.016144, 7.525674",Musée de site,Archéologie;Histoire,"Collections militaires : Armes (Obus, bombarde, sabre, fusils, casque, etc);Histoire : Histoire locale et régionale, Histoire militaire, Biographie",Inconnu,Patrimoine mondial de l’UNESCO.,www.neuf-brisach.fr/Culture-Patrimoine/Musee.html ,2024-02-07
M0041,musée Paysan,10 rue principale,68480,Oltingue,Haut-Rhin,Grand Est,"47.492827, 7.391275",musée en milieu rural,Archéologie;Ethnologie,"Art religieux (Art chrétien);Ethnologie : Costume, Mobilier, Métiers et Outils, Pratiques religieuses et collectives",Inconnu,Inconnu,musee.paysan.free.fr/,2025-04-11
M0043,musée du Dolder,57 rue du général de Gaulle,68340,Riquewihr,Haut-Rhin,Grand Est,"48.166916, 7.297406",Inconnu,Ethnologie;Histoire,"Archéologie nationale ,Médiéval. Collections militaires, Armes, Ethnologie,métier et outils, Histoire;Histoire locale et régionale. Ouvrages de bibliophilie, Agro-alimentaire",Inconnu,Site classé. Abords d'un Monument historique.,www.musee-riquewihr.fr/dolder.html,2024-02-07
M0044,musée du papier peint,28 rue Zuber,68170,Rixheim,Haut-Rhin,Grand Est,"47.744135, 7.397424",Inconnu,Arts décoratifs;Technique et industrie;archéologie du bâti;musée de société,Décoration intérieure;dessin industriel;savoir-faire;Design;art populaire,Inconnu,Site classé.,www.museepapierpeint.org/fr/,2024-02-07
M0047,musée de la société d’histoire “ les amis de Thann ”,24 rue Saint-Thiébaut,68800,Thann,Haut-Rhin,Grand Est,"47.812283, 7.101737",Musée d'art sacré,Art moderne et contemporain;Histoire;Photographie;Sciences de la nature;Technique et industrie,"Archéologie nationale : Médiéval;Art religieux (Art chrétien);Arts décoratifs (Objets d'art);Arts du spectacle : Cinéma;Beaux-Arts : Estampe et Affiche, Peinture, Sculpture;Collections militaires : Armes;Photographies, Numismatique, Sigillographie;Ethnologie : Costume, Mobilier, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Histoire religieuse, Histoire militaire, Biographie;Musique : Souvenirs de compositeurs et interprètes;Sciences de la nature : Minéralogie, Paléontologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00085700?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22halle%22&ou=%5B%22Thann%22%5D&last_view=%22list%22&idQuery=%22dc237d4-3f4d-ba37-a3dc-060c3076c7be%22,Site classé. Abords d'un Monument historique.,www.les-amis-de-thann.com/,2024-01-25
M0048,écomusée d’Alsace,BP 71,68190,Ungersheim,Haut-Rhin,Grand Est,"47.878584, 7.304447",Ecomusée,Archéologie;Ethnologie;Histoire;Photographie;Sciences de la nature;Technique et industrie,"Architecture et urbanisme;Art religieux;Arts du spectacle : Art forain;Archives papier, Archives sonores, Fonds ancien d'imprimés, Image animée, Photographie, Plans;Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Sciences de la nature : Botanique;Sciences et techniques : Agro-alimentaire, Industrie, Navigation et Pêche, Transports terrestres",Inconnu,Inconnu,www.ecomusee.alsace/fr/,2023-04-12
M0049,musée du tabac,place du feu,24100,Bergerac,Dordogne,Nouvelle-Aquitaine,"44.84976, 0.483469",Inconnu,Arts décoratifs;Beaux-arts;Ethnologie;Afrique;Asie;Amérique;Arts de l'Islam;Technique et industrie;Sciences de la nature,"Arts décoratifs : Céramique, Mobilier, Textiles;Beaux-Arts : Dessin, Estampe et Affiche;Civilisations extra-européennes : Africaines, Américaines, Asiatiques, Islamiques;Archives papier, Fonds ancien d’imprimés, Photographie, Ouvrages de bibliophilie;Ethnologie : Métiers et Outils, Pratiques religieuses et collectives;Histoire : Musée thématique;Sciences de la nature : Botanique;Sciences et techniques : Sciences médicales",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00082372?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Bergerac%22%5D&last_view=%22list%22&idQuery=%228d25-fe6b-4006-f44-a377822dfd%22,Site patrimonial remarquable. Site inscrit.,www.bergerac.fr/directory/musee-du-tabac/,2024-02-07
