Identifiant,Nom_officiel,Adresse,Code_postal,Ville,Departement,Region,Coordonnees,Categorie,Domaine_thematique,Themes,Protection_batiment,Protection_espace,URL,Date_de_mise_a_jour
M0345,musée des Beaux-Arts,place Philibert de Chalon,39000,Lons-le-Saunier,Jura,Bourgogne-Franche-Comté,"46.675861, 5.553907",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Ethnologie;Histoire;Sciences de la nature,"Beaux-Arts : Estampe et Affiche, Peinture, Sculpture",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00101894,Site patrimonial remarquable.,www.lonslesaunier.fr/les-musees/musee-des-beaux-arts/,2024-01-26
M0346,musée d’archéologie,133 rue René Maire,39000,Lons-le-Saunier,Jura,Bourgogne-Franche-Comté,"46.684566, 5.579336",Inconnu,Archéologie;Sciences de la nature,"Archéologie nationale : préhistoire, protohistoire, gallo-romain, paléo-chrétien, moyen Age, Epoque Moderne;Sciences de la nature : géologie, paléontologie",Inconnu,Site patrimonial remarquable.,www.lonslesaunier.fr/les-musees/musee-darcheologie/,2025-03-07
M0347,musée des beaux-arts et d'archéologie,85 rue des Arènes,39100,Dole,Jura,Bourgogne-Franche-Comté,"47.089059, 5.488205",Inconnu,Archéologie;Art moderne et contemporain;Beaux-arts,"Antiquités étrangères : Egyptiennes;Archéologie nationale : Préhistoire, Gallo-romain, Médiéval;Art moderne et contemporain;Beaux-Arts : Dessin, Peinture, Sculpture","Protégé au titre des Monuments historiques : ttps://www.pop.culture.gouv.fr/notice/merimee/PA00101841?base=[""Patrimoine architectural (Mérimée)""]&listResPage=4&mosaicPage=4&ou=[""Dole""]&last_view=""mosaic""&idQuery=""ca564e-55e0-5de3-a46-43a2f3d66f""",Site patrimonial remarquable. Site inscrit.,www.doledujura.fr/musee-des-beaux-arts/,2024-01-26
M0348,musée du jouet,5 rue du Murgin,39260,Moirans-en-Montagne,Jura,Bourgogne-Franche-Comté,"46.433004, 5.726307",musée en milieu rural,Histoire;Technique et industrie;Ethnologie;Afrique,"Ethnologie : Jouets, Métiers et Outils;Histoire : Musée thématique, Histoire locale et régionale;Sciences et techniques : Industrie",Inconnu,Inconnu,www.musee-du-jouet.com/,2025-05-28
M0351,musée municipal,mairie,39800,Poligny,Jura,Bourgogne-Franche-Comté,"46.836426, 5.708802",musée en milieu rural,Archéologie;Beaux-arts;Photographie;Sciences de la nature;Ethnologie;Afrique;Asie,"Archéologie nationale;Beaux-Arts;Civilisations extra-européennes : Africaines, Océaniennes;Sciences de la nature : Botanique, Ornithologie, Paléontologie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00102077?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&listResPage=2&mosaicPage=2&ou=%5B%22Poligny%22%5D&last_view=%22mosaic%22&idQuery=%22575db0d-801c-f6a7-ec4e-5a7a7a6155d4%22,Site patrimonial remarquable.,www.musee-poligny.fr/,2025-04-10
M0353,musée de la Grande Saline,3 place des salines,39110,Salins-les-Bains,Jura,Bourgogne-Franche-Comté,"46.937242, 5.876684",musée de site ; musée en milieu rural,Archéologie;Beaux-arts;Histoire;Sciences de la nature;Technique et industrie,Sciences et techniques : Industrie,"Classement au titre des Monuments Historiques (Grande salle voûtée du puits d'Amont et ses installations de pompage, façades et toitures, 1971). La Grande Saline est inscrite sur la liste du Patrimoine mondial de l’UNESCO, en lien avec la Saline Royale d’Arc-et-Senans.",Site patrimonial remarquable. Site classé.,www.salinesdesalins.com/,2025-07-29
M0354,musée départemental Albert Demard,château,70600,Champlitte,Haute-Saône,Bourgogne-Franche-Comté,"47.617066, 5.517093",écomusée ; musée en zone rurale,Arts décoratifs;Beaux-arts;Ethnologie;Technique et industrie;Amérique,"Arts décoratifs : Textiles (dentelle);Archives papier, Photographie;Ethnologie : Métiers et Outils;Sciences et techniques : Agro-alimentaire, Communication, Transports terrestres",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00102129?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Champlitte%22%5D&last_view=%22list%22&idQuery=%22e63aa80-802b-2c46-1671-548e3f4a6%22,Site patrimonial remarquable.,musees.haute-saone.fr/,2025-04-10
M0355,musée départemental de La Montagne,3 place du 19 mars 1962,70440,Haut-du-Them Château-Lambert,Haute-Saône,Bourgogne-Franche-Comté,"47.836247, 6.734944",écomusée ; musée de plein air ; musée de site ; musée en milieu rural,Ethnologie,"Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils",Inconnu,Site classé. Parc naturel.,musees.haute-saone.fr/chateau-lambert/,2025-07-30
M0356,Ecomusée du Pays de la Cerise,206 le Petit Fahys,70220,Fougerolles-Saint-Valbert,Haute-Saône,Bourgogne-Franche-Comté,"47.90731792798074, 6.400821912965652",écomusée ; musée en milieu rural,Technique et industrie,"Arts décoratifs : Textiles (broderies et dentelles du pays);Ethnologie : Habitat, Métiers et Outils, Pratiques religieuses et collectives;Sciences et techniques (Ecomusée de la Cerise, production, transformation, distillation.)",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00102168?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Fougerolles%22%5D&last_view=%22mosaic%22&idQuery=%224e1636-4548-a830-bfa5-d5320571d7%22,Inconnu,ecomusee-fougerolles.fr/,2025-07-30
M0357,musée Baron Martin,6 rue Pigalle,70100,Gray,Haute-Saône,Bourgogne-Franche-Comté,"47.446411, 5.592781",Inconnu,Archéologie;Beaux-arts,"Archéologie nationale : Gallo-romain;Arts décoratifs : Mobilier;Beaux-Arts : Dessin, Peinture, Sculpture",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00102177,Site patrimonial remarquable. Site inscrit.,www.musee-baronmartin.fr/,2023-04-12
M0358,musée de la tour des Echevins,36 rue Victor Genoux,70300,Luxeuil-les-Bains,Haute-Saône,Bourgogne-Franche-Comté,"47.816821, 6.380482",Inconnu,Archéologie;Beaux-arts,"Archéologie nationale : Gallo-romain;Arts décoratifs : Textiles;Beaux-Arts : Dessin, Peinture",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00102205?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Luxeuil-les-Bains%22%5D&last_view=%22mosaic%22&idQuery=%22f5e51cc-fca3-2b7c-a4c4-520afeaf36e5%22,Abords d'un Monument historique. Site inscrit.,www.ville-luxeuil-les-bains.fr/musees.htm,2025-07-30
M0359,musée Jean-Léon Gérôme,1 rue des Ursulines,70000,Vesoul,Haute-Saône,Bourgogne-Franche-Comté,"47.623695, 6.155771",Inconnu,Archéologie;Beaux-Arts,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain;Beaux-Arts : Dessin, Peinture, Sculpture",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00102335?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Vesoul%22%5D&last_view=%22mosaic%22&idQuery=%22a4f86ed-6c12-d8b-fcd-6e01243f8b57%22,Abords d'un Monument historique. Site inscrit.,www.vesoul.fr/sortir-bouger-se-divertir/musee-georges-garret.html,2025-07-18
M0360,musée Frédéric Japy,16 rue Frédéric Japy,90500,Beaucourt,Territoire de Belfort,Bourgogne-Franche-Comté,"47.485011, 6.922453",Musée de site,Histoire;Technique et industrie,Ethnologie (objets de la vie quotidienne),Inconnu,Inconnu,www.mairie-beaucourt.fr/culture/,2024-01-26
M0361,musée d'art et d'histoire,rue Xavier Bauer,90000,Belfort,Territoire de Belfort,Bourgogne-Franche-Comté,"47.63757, 6.867072",Inconnu,Archéologie;Beaux-arts;Histoire;Ethnologie;Afrique;Asie,"Archéologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Architecture et urbanisme;Art moderne et contemporain;Arts décoratifs : Céramique;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Civilisations extra-européennes : Africaines, Asiatiques;Collections militaires : Armes, Artillerie, Uniformes, Armures, objets personnels du Colonel Denfert-Rochereau;Photographie, Numismatique;Ethnologie : Costume, Mobilier, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Histoire locale et régionale, Histoire militaire",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00101142?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Belfort%22%5D&last_view=%22list%22&idQuery=%2250a8de-5aa-e4ed-6b8-d01dd3470600%22,Site classé.,musees.belfort.fr/musee-s-961.html,2024-01-26
M0362,forge-musée,2 rue de Lamadeleine,90170,Etueffont,Territoire de Belfort,Bourgogne-Franche-Comté,"47.722575, 6.920842",musée en milieu rural,Ethnologie;Histoire;Technique et industrie,"Ethnologie : Habitat, Mobilier, Métiers et Outils",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00125423?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Etueffont%22%5D&last_view=%22mosaic%22&idQuery=%225620343-304c-3adb-b0cd-144b04d2cfc3%22,Parc naturel.,www.etueffont.fr/decouvrir/patrimoine-historique.htm,2025-04-10
M0363,musée de la Chasse et de la Nature,62 rue des archives,75003,Paris,Paris,Ile-de-France,"48.861491, 2.358608",Inconnu,Arts décoratifs;Sciences de la nature;Ethnologie;Afrique,"Civilisations extra-européennes : Africaines;Collections militaires : Armes (Armes de chasse);Autres collections : Ouvrages de bibliophilie (sur la chasse);Histoire : Musée thématique;Sciences de la nature : Mammalogie, Autre(s),  (Animaux naturalisés et trophées de chasse),",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00086135?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Gu%C3%A9n%C3%A9gaud%22&ou=%5B%22Paris%203e%20Arrondissement%22%5D&last_view=%22list%22&idQuery=%22ff064e1-a08d-b7a-a3fa-b6b5e4adff03%22,Secteur sauvegardé. Site patrimonial remarquable.,www.chassenature.org/,2024-01-26
M0364,musée d'Art et d'Histoire du Judaïsme,71 rue du Temple,75003,Paris,Paris,Ile-de-France,"48.86095, 2.355608",Inconnu,Archéologie;Arts décoratifs;Art moderne et contemporain;Beaux-arts;Ethnologie;Histoire;Photographie,"Art religieux (juif);Arts décoratifs (Art et civilisation juifs.);Beaux-Arts : Estampe et Affiche, Peinture, Sculpture;Autres collections : Photographie;Ethnologie : Costume, Pratiques religieuses et collectives;Histoire : Histoire religieuse;Archéologie nationale : médiéval",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00086156?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Saint-Aignan%22&ou=%5B%22Paris%203e%20Arrondissement%22%5D&last_view=%22list%22&idQuery=%223ad6-740-0f34-c8a1-743ae0f468e%22,Site patrimonial remarquable.,www.mahj.org/,2025-07-29
M0366,musée de la franc-maçonnerie,16 rue Cadet,75009,Paris,Paris,Ile-de-France,"48.874991, 2.343088",Inconnu,Arts décoratifs;Ethnologie;Histoire,"Arts décoratifs : Céramique, Mobilier, Orfèvrerie, Textiles, Verrerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture;Collections militaires : Armes (épées maçonniques);Autres collections : Archives papier, Fonds ancien d imprimés, Photographie, Numismatique, Philatélie, Sigillographie;Ethnologie : Costume;Histoire : Musée thématique",Inconnu,Site patrimonial remarquable.,www.museefm.org/,2025-07-30
M0369,musée de Montmartre,12 rue Cortot,75018,Paris,Paris,Ile-de-France,"48.887709, 2.340577",Maison d'artiste,Arts décoratifs;Art moderne et contemporain;Beaux-arts;Histoire;Photographie,"Architecture et urbanisme;Arts décoratifs : Céramique, Mobilier;Arts du spectacle (cabarets, music halls, théâtres, cirques, cinémas);Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Archives papier, Fonds ancien d imprimés, Photographie, Partitions, Plans;Histoire : Période historique (1870), Histoire locale et régionale, Histoire religieuse;Musique : Instruments, Souvenirs de compositeurs et interprètes",Inconnu,Site classé. Site patrimonial remarquable.,museedemontmartre.fr/,2024-01-26
M0370,musée de l'école de Barbizon - auberge Ganne,92 grande rue,77630,Barbizon,Seine-et-Marne,Ile-de-France,"48.446181, 2.602464",musée de site ; musée en milieu rural,Arts décoratifs;Beaux-Arts;Histoire,"Archeologie nationale : Moderne;Architecture et urbanisme;Arts décoratifs : Mobilier;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Autres collections : Archives papier, Moulages, Ouvrages de bibliophilie;Ethnologie : Habitat, Mobilier;Histoire : Musée thématique, Histoire locale et régionale",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00086807?base=%22merimee%22&listResPage=9&qb=%5B%7B%22field%22%3A%5B%22ACTU.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22mus%C3%A9e%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%5D&resPage=9&last_view=%22list%22&idQuery=%22c1ed852-46c-2f0-a636-68e0a10308c%22,Site patrimonial remarquable. Secteur sauvegardé. Parc naturel.,www.musee-peintres-barbizon.fr/fr,2025-04-11
M0371,musée Alfred Bonno,place de la République,77500,Chelles,Seine-et-Marne,Ile-de-France,"48.87766, 2.591845",Inconnu,Archéologie;Arts décoratifs;Histoire,Archéologie nationale : Préhistoire;Arts décoratifs : Textiles;Beaux-Arts : Sculpture,Inconnu,Site classé.,www.chelles.fr/chelles-a-vivre/culture/musee-alfred-bonno/,2024-01-26
M0372,musée municipal des Capucins,parc des Capucins,77120,Coulommiers,Seine-et-Marne,Ile-de-France,"48.810834, 3.086974",Inconnu,Archéologie;Arts décoratifs;Beaux-arts;Ethnologie;Histoire;Photographie;Technique et industrie,"Archéologie nationale : Préhistoire, Gallo-romain;Art religieux;Beaux-Arts : Peinture;Ethnologie;Histoire : Histoire locale et régionale;Sciences fondamentales : Astronomie (2 globes de Corenelli, un terrestre et un céleste),",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00086905?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Coulommiers%22%5D&last_view=%22mosaic%22&idQuery=%22c8fba8e-0474-24ea-ac66-f734db440de%22,Inconnu,www.coulommiers.fr/loisirs/patrimoine/le-musee/,2024-01-26
M0373,Maison Natale de Louis Braille,13 rue Louis Braille,77400,Coupvray,Seine-et-Marne,Ile-de-France,"48.867372, 2.712931",Maison musée. Maison des Illustres.,Ethnologie;Histoire,"Ethnologie : Habitat, Mobilier, Métiers et Outils;Histoire : Biographie",Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00086909?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Coupvray%22%5D&last_view=%22mosaic%22&idQuery=%22fd4414-574e-b1b-b064-2fef471c86f4%22,Inconnu,museelouisbraille.com/,2024-01-26
M0374,musée municipal,mairie,77580,Crécy-la-Chapelle,Seine-et-Marne,Ile-de-France,"48.85813263142596, 2.908441509296712",Inconnu,Beaux-Arts;Peinture,Inconnu,Inconnu,Inconnu,Inconnu,2025-03-07
