;Identifiant Muséofile;Région administrative;Département;Commune;Nom officiel du musée;Code Postal;URL;Latitude;Longitude
394;M0321;Grand Est;Haute-Marne;Langres;musée d'art et d'histoire;52200.0;www.musees-langres.fr/;47,865268;5,333286
395;M0322;Grand Est;Haute-Marne;Nogent-en-Bassigny;musée de la coutellerie;52800.0;www.villedenogent52.fr/page/culture/musee/;48,02758;5,341424
396;M0323;Grand Est;Haute-Marne;Saint-Dizier;musée municipal;52115.0;www.saint-dizier.fr/sport-culture-loisirs/culture-et-musique/musee-de-saint-dizier.html;48,63804123;4,948277733
397;M0027;Grand Est;Haut-Rhin;Colmar;musée Bartholdi;68000.0;www.musee-bartholdi.fr/;48,076747;7,357746
398;M0028;Grand Est;Haut-Rhin;Colmar;musée d'Unterlinden;68000.0;www.musee-unterlinden.com/;48,079918;7,355464
399;M0037;Grand Est;Haut-Rhin;Mulhouse;musée de l'impression sur étoffes;68072.0;www.musee-impression.com/;47,74501942;7,345379581
400;M0040;Grand Est;Haut-Rhin;Neuf-Brisach;musée Vauban;68600.0;mausa.fr/;48,016144;7,525674
401;M0048;Grand Est;Haut-Rhin;Ungersheim;écomusée d'Alsace;68190.0;www.ecomusee.alsace/fr/;47,878584;7,304447
402;M0034;Grand Est;Haut-Rhin;Mulhouse;musée historique;68100.0;musees-mulhouse.fr/musees/musee-historique/;47,746642;7,338434
403;M0041;Grand Est;Haut-Rhin;Oltingue;musée paysan;68480.0;musee.paysan.free.fr/;47,492827;7,391275
404;M0043;Grand Est;Haut-Rhin;Riquewihr;musée du Dolder;68340.0;www.musee-riquewihr.fr/dolder.html;48,166916;7,297406
405;M0031;Grand Est;Haut-Rhin;Kaysersberg;musée historique;68240.0;www.kaysersberg-vignoble.fr/musee-historique;48,139072;7,261441
406;M0036;Grand Est;Haut-Rhin;Mulhouse;musée français du chemin de fer;68200.0;www.citedutrain.com/;47,732372;7,312824
407;M0039;Grand Est;Haut-Rhin;Mulhouse;musée Electropolis;68200.0;www.musee-electropolis.fr/;47,749441;7,295058
408;M7033;Grand Est;Haut-Rhin;Colmar;muséum d'histoire naturelle et d'ethnographie;68000.0;www.colmar.fr/musee-histoire-naturelle;48,073594;7,35872
409;M0025;Grand Est;Haut-Rhin;Biesheim;musée gallo-romain;68600.0;www.biesheim.fr/culture-loisirs/musee-gallo-romain/;48,041667;7,54802
410;M0026;Grand Est;Haut-Rhin;Cernay;musée de la porte de Thann;68700.0;www.musee-cernay.org/;47,809586;7,174264
411;M0029;Grand Est;Haut-Rhin;Guebwiller;musée Théodore Deck et des pays du Florival;68500.0;www.ville-guebwiller.fr/culture/lieux-culturels/musee-theodore-deck-des-pays-du-florival/;47,905522;7,214504
412;M0030;Grand Est;Haut-Rhin;Huningue;musée historique et militaire;68330.0;www.ville-huningue.fr/fr/musee-historique-et-militaire/;47,591513;7,584985
413;M0033;Grand Est;Haut-Rhin;Mulhouse;musée des beaux-arts;68100.0;musees-mulhouse.fr/musees/musee-des-beaux-arts/;47,745774;7,338271
414;M0035;Grand Est;Haut-Rhin;Mulhouse;musée national de l'automobile - collection Schlumpf;68051.0;www.citedelautomobile.com/;47,76161417;7,327893525
415;M0038;Grand Est;Haut-Rhin;Mulhouse;musée du sapeur-pompier;68480.0;www.musee-sapeur-pompier.fr/;47,504301;7,304287
416;M0044;Grand Est;Haut-Rhin;Rixheim;musée du papier peint;68170.0;www.museepapierpeint.org/fr/;47,744135;7,397424
417;M0024;Grand Est;Haut-Rhin;Altkirch;musée sundgauvien;68130.0;altkirch-alsace.fr/musee-sundgauvien/;47,623329;7,237204
418;M0032;Grand Est;Haut-Rhin;Kientzheim;musée du vignoble et des vins d'Alsace;68770.0;www.musee-du-vignoble-alsace.fr/;48,126069;7,280128
419;M0047;Grand Est;Haut-Rhin;Thann;"musée de la société d'histoire ""les amis de Thann""";68800.0;www.les-amis-de-thann.com/;47,812283;7,101737
420;M7047;Grand Est;Haut-Rhin;Mulhouse;musée minéralogique de la société industrielle de Mulhouse;68100.0;www.enscmu.uha.fr/index.php/lenscmu/histoire-et-patrimoine/;47,73132;7,310303
421;M0309;Grand Est;Marne;Epernay;musée municipal;51200.0;archeochampagne.epernay.fr/;49,042901;3,961379
422;M0311;Grand Est;Marne;Reims;musée des beaux-arts de Saint-Denis;51100.0;musees-reims.fr/fr/musees/musee-des-beaux-arts/;49,253442;4,030921
423;M0314;Grand Est;Marne;Reims;musée du vieux Reims;51100.0;musees-reims.fr/fr/musees/musee-le-vergeur/;49,257013;4,034043
424;M1178;Grand Est;Marne;Châlons-en-Champagne;musée du cloître de Notre-Dame-en-Vaux;51000.0;www.chalonsenchampagne.fr/culture-et-tourisme/a-votre-service/musees-municipaux;48,956391;4,364203
425;M0308;Grand Est;Marne;Châlons-en-Champagne;musée Garinet;51000.0;www.chalonsenchampagne.fr/culture-et-tourisme/a-votre-service/musees-municipaux;48,955859;4,366501
426;M0310;Grand Est;Marne;Pourcy;écomusée de la montagne de Reims;51160.0;www.parc-montagnedereims.fr/fr;49,112985;4,029412
427;M0312;Grand Est;Marne;Reims;musée Saint-Rémi;51100.0;musees-reims.fr/fr/musees/musee-saint-remi/;49,243111;4,040351
428;M0307;Grand Est;Marne;Châlons-en-Champagne;musée municipal;51000.0;www.chalonsenchampagne.fr/culture/musees;48,956391;4,364203
429;M0315;Grand Est;Marne;Sainte-Menehould;musée de l'Argonne Viard-Morel;51800.0;www.mmc-stemenehould.com/musee-d-art-et-d-histoire/;49,092086;4,897997
431;M1080;Grand Est;Meurthe-et-Moselle;Pont-à-Mousson;"musée ""Au fil du papier""";54700.0;ville-pont-a-mousson.fr/fr/rb/97333/presentation-12;48,901615;6,056259
432;M0510;Grand Est;Meurthe-et-Moselle;Longwy;musée municipal des émaux et faïence;54400.0;museedesemaux.wordpress.com/;49,519776;5,760104
433;M0512;Grand Est;Meurthe-et-Moselle;Nancy;musée des beaux-arts;54000.0;musee-des-beaux-arts.nancy.fr/accueil-145.html;48,693507;6,182435
434;M0513;Grand Est;Meurthe-et-Moselle;Nancy;musée de l'Ecole de Nancy;54000.0;www.ecole-de-nancy.com/web/;48,680494;6,166351
435;M7048;Grand Est;Meurthe-et-Moselle;Nancy;muséum-aquarium de Nancy;54000.0;www.museumaquariumdenancy.eu/accueil/;48,695072;6,188467
436;M0507;Grand Est;Meurthe-et-Moselle;Deneuvre;musée Les sources d'Hercule;54120.0;www.museehercule.com/;48,446385;6,734719
437;M0508;Grand Est;Meurthe-et-Moselle;Laneuville-devant-Nancy;château de Montaigu;54410.0;www.chateaudemontaigu.eu;48,665792;6,215554
438;M0509;Grand Est;Meurthe-et-Moselle;Jarville-la-Malgrange;musée de l'histoire du fer;54140.0;www.museehistoiredufer.fr/accueil/;48,666588;6,208769
439;M0511;Grand Est;Meurthe-et-Moselle;Lunéville;musée du château;54300.0;www.chateauluneville.meurthe-et-moselle.fr/;48,589446;6,505708
440;M0514;Grand Est;Meurthe-et-Moselle;Nancy;musée historique lorrain;54000.0;www.musee-lorrain.nancy.fr/;48,697316;6,179154
441;M0515;Grand Est;Meurthe-et-Moselle;Toul;musée d'art et d'histoire;54200.0;www.toul.fr/?actuellement-au-musee;48,678544;5,89134
442;M0522;Grand Est;Meuse;Stenay;musée de la bière et du pays de Stenay;55700.0;museedelabiere.com/;49,48769;5,186786
443;M0524;Grand Est;Meuse;Vaucouleurs;musée Jeanne d'Arc;55140.0;musees-meuse.fr/musee-jeanne-darc-vaucouleurs/;48,602652;5,666
444;M0521;Grand Est;Meuse;Sampigny;musée départemental Raymond Poincaré;55300.0;musees-meuse.fr/musee-departemental-raymond-poincare-sampigny/;48,827583;5,50824
445;M0523;Grand Est;Meuse;Varennes-en-Argonne;musée d'Argonne;55270.0;musees-meuse.fr/musee-dargonne-varennes-en-argonne/;49,226057;5,033072
446;M0517;Grand Est;Meuse;Bar-le-Duc;musée barrois;55000.0;musees-meuse.fr/musee-barrois/;48,771797;5,156074
447;M0518;Grand Est;Meuse;Commercy;musée de la céramique et de l'ivoire;55200.0;musees-meuse.fr/musee-de-la-ceramique-et-de-livoire-commercy/;48,76331;5,58962
448;M0519;Grand Est;Meuse;Montmédy;musée Jules Bastien-Lepage - musée de la fortification;55600.0;musees-meuse.fr/musee-jules-bastien-lepage-montmedy/#1486118691097-c04ba0bd-02c9;49,523594;5,348511
449;M0525;Grand Est;Meuse;Verdun;musée de la Princerie;55100.0;www.musee-princerie-verdun.fr/;49,161059;5,382439
450;M0520;Grand Est;Meuse;Saint-Mihiel;musée d'art sacré de la Meuse;55300.0;musees-meuse.fr/musee-dart-sacre-saint-mihiel/;48,88855;5,541165
451;M0528;Grand Est;Moselle;Meisenthal;maison du verre et du cristal;57960.0;ciav-meisenthal.fr/rubrique/apropos;48,964935;7,352438
452;M0530;Grand Est;Moselle;Neufchef (Hayange);musée des mines de fer de Lorraine;57700.0;www.musee-minesdefer-lorraine.com;49,325904;6,027572
453;M0531;Grand Est;Moselle;Phalsbourg;musée militaire et Erckmann-Chatrian;57370.0;www.phalsbourg.fr/La_culture__les_loisirs/Le_musee;48,766548;7,259055
454;M0532;Grand Est;Moselle;Sarrebourg;musée du pays de Sarrebourg;57400.0;www.sarrebourg.fr/Musee;48,734975;7,055253
455;M1089;Grand Est;Moselle;Petite-Rosselle;musée de la mine - carreau Wendel;57540.0;parc-explor.com/;49,20684;6,848979
456;M0529;Grand Est;Moselle;Metz;musées de la Cour d'or;57000.0;musee.metzmetropole.fr/;49,121051;6,177978
457;M0534;Grand Est;Moselle;Thionville;musée de la Tour-aux-Puces;57125.0;www.tourauxpuces.com/fr;49,35817097;6,169267003
458;M1085;Grand Est;Moselle;Vic-sur-Seille;musée départemental Georges de la Tour;57630.0;www.mosellepassion.fr/index.php/les-sites-moselle-passion/musee-georges-de-la-tour;48,781787;6,531429
459;M0526;Grand Est;Moselle;Gravelotte;musée de la guerre de 1870;57130.0;www.mosellepassion.fr/index.php/les-sites-moselle-passion/musee-de-la-guerre-de-1870;49,113679;6,029871
460;M0527;Grand Est;Moselle;Marsal;musée du sel;57630.0;www.mosellepassion.fr/index.php/les-sites-moselle-passion/musee-du-sel;48,788503;6,606549
461;M0533;Grand Est;Moselle;Sarreguemines;musée de la faïence et des techniques faïencières;57200.0;www.sarreguemines-museum.eu/;49,109069;7,070473
462;M0536;Grand Est;Vosges;Epinal;musée départemental d'art ancien et contemporain;88000.0;mudaac.vosges.fr/;48,17326;6,446595
463;M0541;Grand Est;Vosges;Remiremont;musée Charles Friry;88200.0;www.remiremont.fr/culture/musees-de-remiremont/musee-charles-friry/;48,015174;6,590031
464;M0542;Grand Est;Vosges;Saint-Dié-des-Vosges;musée Pierre Noël - musée de la vie dans les Hautes-Vosges;88100.0;www.ca-saintdie.fr/decouvrir/musee-pierre-noel/actualites;48,295658;6,947961
465;M0538;Grand Est;Vosges;Mirecourt;musée de la lutherie;88503.0;musee-lutherie-mirecourt.fr/;48,30159283;6,13544044
466;M0540;Grand Est;Vosges;Remiremont;musée Charles de Bruyères;88200.0;www.remiremont.fr/culture/musees-de-remiremont/musee-charles-de-bruyeres/;48,016142;6,593289
467;M0537;Grand Est;Vosges;Epinal;musée de l'image;88000.0;museedelimage.fr/;48,183628;6,445992
468;M0539;Grand Est;Vosges;Plombières-les-Bains;musée Louis Français;88370.0;www.plombieres-les-bains.fr/fr/musee-du-paysage-louis-francais.html;47,964095;6,458494
469;M0784;Hauts-de-France;Aisne;Château-Thierry;musée Jean de la Fontaine;2400.0;www.museejeandelafontaine.fr/;49,046927;3,400289
470;M0788;Hauts-de-France;Aisne;Hirson;musée - centre de documentation Alfred Desmasures;2500.0;fourmies.canalblog.com/archives/2007/07/15/5642323.html;49,921047;4,083876
471;M0790;Hauts-de-France;Aisne;Laon;musée archéologique municipale;2000.0;laon.fr/VILLE_LAON_21_WEB/FR/Accueil.awp?page=57&m=6.110.115;49,563206;3,626781
472;M0792;Hauts-de-France;Aisne;Saint-Michel-en-Thiérache;musée de la vie rurale et forestière;2830.0;www.abbaye-saintmichel.com/musee1.htm;49,922563;4,134763
473;M0793;Hauts-de-France;Aisne;Saint-Quentin;musée des beaux-arts Antoine Lécuyer;2100.0;www.saint-quentin.fr/109-musee-lecuyer.htm;49,849891;3,285398
474;M7060;Hauts-de-France;Aisne;Saint-Quentin;musée entomologique;2100.0;www.saint-quentin.fr/108-musee-papillons.htm;49,84595;3,288944
475;M0787;Hauts-de-France;Aisne;Guise;Familistère de Guise;2120.0;www.familistere.com/fr/visiter/que-voir-que-faire-au-familistere/le-musee-de-site;49,903647;3,626529
476;M0795;Hauts-de-France;Aisne;Vervins;musée de la Thiérache;2140.0;www.tourisme-thierache.fr/fiche/detail/304/Mus%C3%A9e-de-la-Thi%C3%A9rache;49,834696;3,907684
477;M0794;Hauts-de-France;Aisne;Soissons;musée municipal;2200.0;www.ville-soissons.fr/loisirs-culture-sport/les-musees-de-soissons-514.html;49,384539;3,327233
478;M0796;Hauts-de-France;Aisne;Villers-Cotterets;musée Alexandre Dumas;2600.0;webmuseo.com/ws/musee-dumas/app/report/index.html;49,253009;3,089691
479;M5008;Hauts-de-France;Aisne;Blérancourt;musée franco-américain du château de Blérancourt;2300.0;museefrancoamericain.fr/;49,516035;3,150459
480;M0785;Hauts-de-France;Aisne;Chauny;musée bibliothèque;2300.0;www.ville-chauny.fr/Ville_chauny_web/FR/Accueil.awp?page=57&m=6.110.115;49,615394;3,216814
481;M0786;Hauts-de-France;Aisne;Tergnier;musée de la résistance et de la déportation;2700.0;www.mrdp-picardie.com;49,65875;3,315011
482;M0789;Hauts-de-France;Aisne;La Fère;musée Jeanne d'Aboville;2800.0;mjaboville-lafere.fr/;49,661954;3,367748
484;M0611;Hauts-de-France;Nord;Bailleul;musée Benoît de Puydt;59270.0;www.ville-bailleul.fr/index.php/Mus%C3%A9e?idpage=121&idmetacontenu=169;50,740715;2,734399
485;M0623;Hauts-de-France;Nord;Escaudain;musée municipal;59124.0;escaudain.fr/index.php/culture-et-loisirs/associations-culturelles/85-musee;50,327784;3,343632
486;M0632;Hauts-de-France;Nord;Marchiennes;musée municipal d'histoire locale;59870.0;marchiennes.fr/fr/rb/565307/musee-dhistoire-locale;50,40744;3,281222
487;M0637;Hauts-de-France;Nord;Tourcoing;Muba Eugène Leroy Tourcoing / musée des beaux-arts Eugène Leroy de Tourcoing;59200.0;www.muba-tourcoing.fr/;50,724594;3,162878
488;M0639;Hauts-de-France;Nord;Villeneuve-d'Ascq;LaM - Lille Métropole Musée d'art moderne, d'art contemporain et d'art brut;59650.0;www.musee-lam.fr/fr;50,637497;3,148587
489;M0615;Hauts-de-France;Nord;Cambrai;musée municipal;59400.0;www.villedecambrai.com/culture/le-musee-des-beaux-arts/;50,17347;3,229635
490;M0616;Hauts-de-France;Nord;Cambrai;musée diocésain d'art sacré;59403.0;archives.cathocambrai.com/musee-art-sacre.html;50,17317988;3,23139717
491;M0619;Hauts-de-France;Nord;Douai;musée de la Chartreuse;59500.0;www.museedelachartreuse.fr/;50,374404;3,07548
492;M0622;Hauts-de-France;Nord;Dunkerque;musée portuaire;59140.0;www.museeportuaire.com/;51,037914;2,372174
494;M0636;Hauts-de-France;Nord;Sars-Poteries;MusVerre;59216.0;musverre.lenord.fr/fr/Accueil.aspx;50,164428;4,023602
495;M1197;Hauts-de-France;Nord;Caudry;musée des dentelles et broderies;59540.0;musee-dentelle.caudry.fr/fr/le-musee-et-ses-collections/presentation-du-musee.html;50,124558;3,410691
496;M7001;Hauts-de-France;Nord;Lille;musée d'histoire naturelle et de géologie;59000.0;mhn.lille.fr/;50,626639;3,066546
497;M0620;Hauts-de-France;Nord;Dunkerque;musée d'art contemporain;59240.0;www.musees-dunkerque.eu/;51,0452716;2,383243785
498;M0621;Hauts-de-France;Nord;Dunkerque;musée des beaux-arts;59140.0;www.musees-dunkerque.eu/;51,037327;2,375518
499;M0629;Hauts-de-France;Nord;Lille;musée des beaux-arts;59000.0;pba.lille.fr/;50,621132;3,068387
500;M0635;Hauts-de-France;Nord;Saint-Amand-les-Eaux;musée de la Tour abbatiale;59230.0;www.saint-amand-les-eaux.fr/musee-de-la-tour-abbatiale;50,448711;3,427672
502;M0612;Hauts-de-France;Nord;Bavay;Forum antique de Bavay;59570.0;forumantique.fr/;50,284781;3,774369
503;M0613;Hauts-de-France;Nord;Bergues;musée du Mont-de-Piété;59380.0;bergues-musee.fr/;50,969087;2,430391
504;M0614;Hauts-de-France;Nord;Bouchain;musée de l'Ostrevant;59111.0;bouchain.fr/culture-tourisme/#more-5954;50,284847;3,317909
505;M0617;Hauts-de-France;Nord;Cassel;musée de Flandre;59670.0;museedeflandre.fr/;50,799755;2,48621
506;M0618;Hauts-de-France;Nord;Denain;musée d'archéologie et d'histoire locale;59220.0;www.ville-denain.fr/Decouvrir-Denain/Histoire-et-patrimoine/Musee-d-archeologie-et-d-histoire-locale;50,327614;3,400973
507;M0624;Hauts-de-France;Nord;Fourmies-Trélon;écomusée de la région;59612.0;www.ecomusee-avesnois.fr/;50,01772507;4,043565882
508;M0626;Hauts-de-France;Nord;Hazebrouck;musée municipal;59190.0;www.ville-hazebrouck.fr/decouvrir-hazebrouck/patrimoine/le-musee-des-augustins/;50,721177;2,535346
509;M0627;Hauts-de-France;Nord;Le Cateau-Cambrésis;musée Henri Matisse;59360.0;museematisse.fr/;50,105684;3,541175
510;M0631;Hauts-de-France;Nord;Lille;musée de l'hospice Comtesse;59800.0;www.lille.fr/Le-Musee-de-l-Hospice-Comtesse;50,641053;3,06294
511;M0638;Hauts-de-France;Nord;Valenciennes;musée des beaux-arts;59300.0;valenciennesmusee.valenciennes.fr/;50,35582;3,53105
513;M0625;Hauts-de-France;Nord;Gravelines;musée du dessin et de l'estampe originale;59820.0;www.ville-gravelines.fr/expotemp/02-%20PAGE%20WEB/01Musee/Musee.html;50,992478;2,159542
514;M0628;Hauts-de-France;Nord;Lewarde;centre historique minier, musée de la mine, centre d'archives, centre de culture scientifique de l'énergie;59287.0;www.chm-lewarde.com/fr/;50,336033;3,168419
515;M0634;Hauts-de-France;Nord;Roubaix;La Piscine - musée d'art et d'industrie André Diligent de Roubaix;59100.0;www.roubaix-lapiscine.com/;50,693026;3,16791
516;M0798;Hauts-de-France;Oise;Beauvais;MUDO - musée de l'Oise;60000.0;mudo.oise.fr/;49,432788;2,080444
517;M0807;Hauts-de-France;Oise;Noyon;musée du Noyonnais;60400.0;www.ville-noyon.fr/-Les-musees-de-Noyon;49,581852;2,999742
518;M0808;Hauts-de-France;Oise;Noyon;musée Calvin;60400.0;www.ville-noyon.fr/-Les-musees-de-Noyon;49,581666;2,998444
519;M5009;Hauts-de-France;Oise;Compiègne;musée national du château de Compiègne;60200.0;chateaudecompiegne.fr/;49,41943864;2,831490935
520;M5052;Hauts-de-France;Oise;Chantilly;musée Condé;60631.0;musee-conde.fr/fr/;49,19397;2,48522
521;M0800;Hauts-de-France;Oise;Vendeuil-Caply;musée archéologique de l'Oise;60120.0;m-a-o.org/fr/;49,627157;2,316919
522;M0809;Hauts-de-France;Oise;Senlis;musée d'art et d'archéologie;60300.0;musees.ville-senlis.fr/;49,20653;2,585615
523;M1117;Hauts-de-France;Oise;Méru;musée de la nacre et de la tabletterie;60110.0;www.musee-nacre.com/;49,238327;2,139609
524;M0801;Hauts-de-France;Oise;Chaumont-en-Vexin;musée Pillon;60240.0;hwww.officedelaculture-chaumont-en-vexin.fr/musee-pillon.html;49,262578;1,882069
525;M0803;Hauts-de-France;Oise;Compiègne;musée Antoine Vivenel;60200.0;www.musees-compiegne.fr/;49,417414;2,821526
526;M0805;Hauts-de-France;Oise;Creil;musée Gallé-Juillet;60100.0;www.creil.fr/le-musee-galle-juillet;49,260793;2,473388
527;M0806;Hauts-de-France;Oise;Crépy-en-Valois;musée du Valois et de l'archerie;60800.0;www.musee-archerie-valois.fr/;49,236654;2,884009
528;M5010;Hauts-de-France;Oise;Compiègne;musée de la voiture et du tourisme (annexe du musée national du château de Compiègne);60200.0;chateaudecompiegne.fr/;49,41817267;2,829989167
530;M0810;Hauts-de-France;Oise;Senlis;musée de la vénerie;60300.0;musees.ville-senlis.fr/;49,207022;2,585103
531;M0804;Hauts-de-France;Oise;Compiègne;musée de la figurine historique;60200.0;www.musees-compiegne.fr/;49,417761;2,826358
532;M0642;Hauts-de-France;Pas-de-Calais;Béthune;musée d'ethnologie régionale;62400.0;www.bethune.fr/bethune-brille/lieux-culturels/musee-d-ethnologie-regionale-931.html;50,53621;2,648177
533;M0650;Hauts-de-France;Pas-de-Calais;Saint-Omer;musée de l'hôtel Sandelin;62500.0;www.musees-saint-omer.fr/;50,749007;2,254521
534;M0652;Hauts-de-France;Pas-de-Calais;Saint-Pol-sur-Ternoise;musée municipal;62130.0;www.saintpolsurternoise.fr/articles/culturel;50,381512;2,337066
535;M7027;Hauts-de-France;Pas-de-Calais;Boulogne-sur-Mer;muséum d'histoire naturelle;62311.0;musee.ville-boulogne-sur-mer.fr/;50,72353547;1,617147477
536;M0644;Hauts-de-France;Pas-de-Calais;Calais;musée des beaux-arts et de la dentelle;62100.0;www.calais.fr/fr/Ville-de-Calais/envie-de-bouger/a-visiter-a-voir/musee-des-beaux-arts;50,956724;1,851871
537;M0645;Hauts-de-France;Pas-de-Calais;Desvres;musée de la céramique;62240.0;www.musee-ceramique-desvres.com/;50,666603;1,83876
538;M0640;Hauts-de-France;Pas-de-Calais;Arras;musée des beaux-arts;62000.0;www.arras.fr/fr/mes-loisirs/culture/musee-des-beaux-arts;50,291759;2,772987
539;M0643;Hauts-de-France;Pas-de-Calais;Boulogne-sur-Mer;musée de Boulogne-sur-Mer;62200.0;musee.ville-boulogne-sur-mer.fr/;50,725617;1,616349
540;M0648;Hauts-de-France;Pas-de-Calais;Le Touquet - Paris-Plage;musée du Touquet Paris Plage;62520.0;www.letouquet-musee.com/;50,510041;1,60545
541;M0649;Hauts-de-France;Pas-de-Calais;Montreuil-sur-Mer;musée d'art et d'histoire Roger Rodière;62170.0;www.ville-montreuil-sur-mer.fr/patrimoine/;50,462947;1,763832
542;M0653;Hauts-de-France;Pas-de-Calais;Samer;musée Cazin;62830.0;www.ville-samer.fr/crbst_7.html;50,617493;1,830274
543;M0641;Hauts-de-France;Pas-de-Calais;Berck-sur-Mer;musée d'Opale Sud;62600.0;musee.berck.fr;50,405092;1,567687
544;M0646;Hauts-de-France;Pas-de-Calais;Etaples;musée Quentovic;62630.0;etaples-sur-mer.fr/culture/les-musees/musee-quentovic/;50,513895;1,637621
545;M0647;Hauts-de-France;Pas-de-Calais;Harnes;musée d'histoire et d'archéologie;62440.0;www.ville-harnes.fr/site/musees-a-harnes/;50,451493;2,903226
546;M0651;Hauts-de-France;Pas-de-Calais;Saint-Omer;musée Henri Dupuis;62500.0;www.musees-saint-omer.fr/;50,748349;2,251197
547;M1177;Hauts-de-France;Pas-de-Calais;Calais;cité internationale de la dentelle et de la mode;62100.0;www.cite-dentelle.fr/fr/accueil;50,950474;1,860013
548;M0811;Hauts-de-France;Somme;Abbeville;musée Boucher de Perthes;80100.0;hwww.abbeville.fr/loisirs/musee-boucher-de-perthes.html;50,10712;1,833193
549;M0812;Hauts-de-France;Somme;Amiens;musée de Picardie;80000.0;www.amiens.fr/Vivre-a-Amiens/Culture-Patrimoine/Etablissements-culturels/Musee-de-Picardie/Histoire-du-Musee-de-Picardie;49,890413;2,295968
550;M0814;Hauts-de-France;Somme;Doullens;musée Lombart;80600.0;www.mairie-doullens.fr/zone1/pageLibre00010098.html;50,157436;2,343267
551;M7016;Hauts-de-France;Somme;Amiens;musée d'histoire naturelle;80000.0;www.amiens.fr/Vivre-a-Amiens/Culture-Patrimoine/Etablissements-culturels/Musee-de-Picardie/Museum-d-Histoire-naturelle;49,89079127;2,296254288
552;M0815;Hauts-de-France;Somme;Péronne;musée Danicourt;80201.0;ville-peronne.fr/fr/rb/810669/musee-alfred-danicourt;49,93027;2,9357
553;M0816;Hauts-de-France;Somme;Péronne;musée-historial de la Grande Guerre;80201.0;www.historial.fr/;49,93003;2,9319
554;M0817;Hauts-de-France;Somme;Saint-Riquier;musée départemental de la vie rurale;80135.0;www.abbaye-saint-riquier.fr/FR/abbaye.php;50,132403;1,946543
555;M0813;Hauts-de-France;Somme;Amiens;musée de l'hôtel de Berny;80000.0;www.amiens.fr/Vivre-a-Amiens/Culture-Patrimoine/Etablissements-culturels/Musee-de-Picardie/Musee-de-l-Hotel-de-Berny;49,892882;2,302463
556;M0403;Île-de-France;Essonne;Brunoy;musée municipal Robert Dubois-Corneau;91800.0;www.brunoy.fr/vos-demarches-services/vie-culturelle-et-animations/musee/;48,700308;2,500293
557;M0405;Île-de-France;Essonne;Etampes;musée municipal;91150.0;www.mairie-etampes.fr/le-musee/;48,434307;2,161909
558;M0401;Île-de-France;Essonne;Bièvres;musée français de la photographie;91570.0;photographie.essonne.fr/;48,762826;2,225102
559;M0404;Île-de-France;Essonne;Dourdan;musée du château;91410.0;www.dourdan.fr/a-voir-a-vivre/lechateauetsonmusee/;48,529685;2,011803
560;M0402;Île-de-France;Essonne;Boussy-Saint-Antoine;musée Dunoyer de Segonzac;91800.0;www.ville-boussy.fr/votre-mairie/la-culture.html;48,688925;2,530019
561;M0409;Île-de-France;Hauts-de-Seine;Colombes;musée municipal d'art et d'histoire;92700.0;www.colombes.fr/culture/musee-municipal-d-art-et-d-histoire-983.html;48,923321;2,252039
562;M0410;Île-de-France;Hauts-de-Seine;Courbevoie;musée Roybet-Fould;92400.0;www.museeroybetfould.fr/;48,900998;2,271279
563;M0416;Île-de-France;Hauts-de-Seine;Saint-Cloud;musée des Avelines - musée d'art et d'histoire de Saint-Cloud;92210.0;www.musee-saintcloud.fr/;48,842497;2,208286
564;M0406;Île-de-France;Hauts-de-Seine;Boulogne-Billancourt;musée des années trente;92100.0;www.boulognebillancourt.com/loisirs/culture/les-musees/musee-des-annees-trente;48,834945;2,241177
565;M0407;Île-de-France;Hauts-de-Seine;Boulogne-Billancourt;Albert Kahn, musée et jardin départementaux;92100.0;albert-kahn.hauts-de-seine.fr/;48,841354;2,227488
566;M0408;Île-de-France;Hauts-de-Seine;Boulogne-Billancourt;musée-jardin Paul Landowski;92100.0;www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-landowski;48,844261;2,246847
567;M0412;Île-de-France;Hauts-de-Seine;Meudon;musée d'art et d'histoire;92190.0;musee.meudon.fr/;48,806412;2,234894
568;M1126;Île-de-France;Hauts-de-Seine;Clamart;fondation Arp;92140.0;www.fondationarp.org/;48,803529;2,244319
569;M1170;Île-de-France;Hauts-de-Seine;Boulogne-Billancourt;musée Paul Belmondo et de la scuplture figurative du Xxe siècle;92100.0;www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-belmondo;48,834945;2,241177
570;M0413;Île-de-France;Hauts-de-Seine;Neuilly-sur-Seine;musée des automates;92200.0;www.neuillysurseine.fr/details-d-un-acteur?id=240;48,879608;2,252754
571;M0415;Île-de-France;Hauts-de-Seine;Rueil-Malmaison;musée d'histoire locale - mémoire de la ville;92500.0;www.villederueil.fr/fr/musee-dhistoire-locale;48,877678;2,18183
572;M0417;Île-de-France;Hauts-de-Seine;Sceaux;musée du domaine départemental de Sceaux;92330.0;domaine-de-sceaux.hauts-de-seine.fr/;48,774707;2,299024
573;M0418;Île-de-France;Hauts-de-Seine;Suresnes;MUS - musée d'histoire urbaine et sociale de Suresnes;92150.0;webmuseo.com/ws/musee-suresnes/app/report/index.html;48,868303;2,221944
575;M5016;Île-de-France;Hauts-de-Seine;Rueil-Malmaison;musée national des châteaux de Malmaison et de Bois Préau;92500.0;musees-nationaux-malmaison.fr/chateau-malmaison/;48,873334;2,1689
