Identifiant (ID),Nom de l'organisme,Code postal,Département,Commune,Lien vers la ressource,"si ""enfants"", merci de préciser le niveau scolaire",Titre de la ressource,"Activité proposée (apprendre, se divertir, s’informer,...)",Public cible,Types de ressources proposées,Thématiques,Contenus adaptés aux types de handicap,"Temps d’activité estimé (lecture, écoute, visionnage, jeu)",Pérennité de la ressource
1614,Normandie Impressionniste,76000,76,Rouen,https://www.normandie-impressionniste.fr/fr/visites-virtuelles/,,Visites virtuelles Normandie Impressionniste,"Expos, musées",Tous publics,Expositions virtuelles,Peinture,,Le temps d’une soirée,Accès permanent
1632,Bibliothèque nationale de France,75001,75,Paris,https://gallica.bnf.fr/html/und/litteratures/bande-dessinee,,"La bande dessinée, des origines à l'après-guerre",Livres,Tous publics,"Images, collections numérisées, bases de données",Bande dessinée,Navigation au clavier,Toute une vie ne suffit pas,Accès permanent
1956,Musée de la Camargue - Parc naturel régional de Camargue,13200,13,Arles,https://www.youtube.com/channel/UC1FMHPf7jW_vsclJyU_mSvg/videos,,Le musée de la Camargue en vidéo,"Expos, musées",Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Arts visuels,Musées",Facile à lire et à comprendre (FALC),Le temps d’un week-end,Accès permanent
2271,Centre Pompidou - Google Arts et Culture,75001,75,Paris,https://artsandculture.google.com/project/kandinsky,,Dans l'intimité de Kandinsky,"Expos, musées",Tous publics,Expositions virtuelles,"Arts visuels,Peinture",,Toute une vie ne suffit pas,Accès permanent
657,Association Zebrock,93130,93,Noisy-le-Sec,https://www.melo-app.com/,,"Mélo, le média participatif autour de la musique et du monde","Actualités, débats",Tous publics,Création et pratiques artistiques,"Musique, concerts et opéras",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
779,Ecole du Louvre,75001,75,Paris,http://www.ecoledulouvre.fr/documentation/phototheque/expositions-virtuelles,,Expositions virtuelles,"Expos, musées",Tous publics,Expositions virtuelles,"Musées,Peinture,Sculpture",,Le temps d’un vrai déjeuner,Accès permanent
838,France Télévisions,75001,75,Paris,https://www.france.tv/slash/,,France TV Slash,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Audiovisuel,Cinéma,Éducation artistique et culturelle",,Toute une vie ne suffit pas,Accès permanent
864,Institut national de l'audiovisuel (INA),94366,94,Bry-sur-Marne,https://www.youtube.com/user/inachansons,,INA Chansons,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Audiovisuel,Histoire,Littérature, sciences humaines, langues",,Toute une vie ne suffit pas,Accès permanent
1047,Musée Fabre,34000,34,Montpellier,https://museefabresecretdesoeuvresdart.fr,,Dans le Secret des oeuvres d'art,Jeux,Tous publics,Jeux,"Arts décoratifs, design, métiers d’art,Arts visuels,Éducation artistique et culturelle,Musées,Peinture,Sciences,Sculpture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
625,Archives départementales - Yvelines,78180,78,Montigny-le-Bretonneux,https://gueuledange.yvelines.fr,,Jeu sérieux : Gueule d'Ange,Jeux,Tous publics,Jeux,Histoire,Jeu utilisant du HTML,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
687,Bibliothèque nationale de France (BNF),75001,75,Paris,https://www.bnf.fr/fr/mediatheque/rayon-frais,,Rayon frais,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Littérature, sciences humaines, langues",,Le temps d’un vrai déjeuner,Accès permanent
713,Centre national de la recherche scientifique (CNRS),75001,75,Paris,https://www.youtube.com/channel/UCAxljKT0ujiJZhGC8Ood7mw,,Zeste de science,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Sciences,,Le temps d’un vrai déjeuner,Accès permanent
2118,Association Jets d'encre,75001,75,Paris,http://www.jetsdencre.asso.fr/boite-a-outils/outils-pedagogiques/,Collège|Lycée,Boîte à outils - créer son média,Approfondir ses connaissances,Enfants,Jeux,Éducation aux médias,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2327,Chaine YouTube,75001,75,Paris,https://www.youtube.com/user/TroncheEnBiais,,La Tronche en Biais,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps d’un week-end,Accès permanent
2400,Radio France,75001,75,Paris,https://www.francetvinfo.fr/replay-radio/complorama/,,Complorama,"Actualités, débats",Tous publics,"Audio, radio, podcasts",Éducation aux médias,,Le temps d’un vrai déjeuner,Accès permanent
2582,Centre des Monuments nationaux,75001,75,Paris,https://www.monuments-nationaux.fr/Actualites/Les-monuments-sur-le-divan,,Les monuments sur le divan,Audios,Tous publics,"Audio, radio, podcasts",Architecture et patrimoine,,Le temps d’une soirée,Accès permanent
699,Causses et Vallée de la Dordogne - Villes et Pays d'art et d'histoire -,46110,46,Carennac,https://www.pays-vallee-dordogne.com/ressources-documentaires/visites-virtuelles/,,Le patrimoine à l'ère numérique,"Expos, musées",Tous publics,Expositions virtuelles,"Architecture et patrimoine,Monuments historiques",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
740,Citadelle de Belfort,90000,90,Belfort,https://musees.belfort.fr/citadelle/histoire-de-la-citadelle/nouveau-visite-numerique-1412.html,,Visite numérique,"Expos, musées",Tous publics,Expositions virtuelles,"Architecture et patrimoine,Monuments historiques",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
796,EPCC Mémorial de Verdun - Champ de bataille,55100,55,Fleury-devant-Douaumont,https://www.youtube.com/channel/UC6-ZEcpeCojCT9BhKTjvb-A/videos,Collège|Lycée,Le MOOC du Mémorial de Verdun,Approfondir ses connaissances,Parents / Éducateurs,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques,Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels,Images, collections numérisées, bases de données","Histoire,Monuments historiques",Transcription textuelle,Le temps d’une soirée,Accès permanent
853,Institut de recherche et coordination acoustique/musique (Ircam),75001,75,Paris,https://www.ircam.fr/article/list/audio/,,Playlists de l'Ircam,Audios,Tous publics,"Audio, radio, podcasts","Musique, concerts et opéras",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
892,Labex Les passés dans le présent - Université Paris Nanterre,92000,92,Nanterre,http://cabmedlimc.huma-num.fr/,,Mythes et Images au Cabinet des Médailles,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Archéologie,Arts décoratifs, design, métiers d’art,Histoire,Musées",,Le temps d’un vrai déjeuner,Accès permanent
1250,Musée d'Orsay,75001,75,Paris,https://www.musee-orsay.fr/fr/espace-particuliers/particuliers/accessibilite/deficience-visuelle/ressources/parcours-audiodescriptif.html,,Œuvres commentées en audio description,"Expos, musées",Tous publics,"Audio, radio, podcasts","Musées,Peinture",Audiodescription (AD),Le temps d’un vrai déjeuner,Accès permanent
1302,Château de Versailles,78000,78,Versailles,http://animationjourneeduroi.ressources.chateauversailles.fr/,Primaire|Collège,La journée du Roi,Approfondir ses connaissances,Parents / Éducateurs,Ressources pédagogiques,"Architecture et patrimoine,Histoire,Monuments historiques","Audiodescription (AD),Jeu utilisant du HTML,Navigation au clavier",Le temps d’un vrai déjeuner,Accès permanent
1335,Bibliothèques de Nancy,54000,54,Nancy,https://kiosque.limedia.fr/,,Limédia kiosque,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,,Toute une vie ne suffit pas,Accès permanent
1438,Musée & Jardins Cécile Sabourdy,87260,87,Vicq-sur-Breuilh,https://www.museejardins-sabourdy.fr/expositions.html,113.0,On va s'a[musée],Approfondir ses connaissances,Enfants,Ressources pédagogiques,"Éducation artistique et culturelle,Musées,Parcs et jardins",,Le temps d’un vrai déjeuner,Accès permanent
1616,INECC Mission Voix Lorraine,57000,57,METZ,https://www.inecc-lorraine.com/fr/la-parole-a.html,,La parole à...,Audios,Parents / Éducateurs,"Audio, radio, podcasts","Musique, concerts et opéras",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1689,MAC VAL - Musée d'art contemporain du Val-de-Marne,94400,94,Vitry-sur-Seine,http://www.macval.fr/ENTREZ-DANS-MON-ATELIER,,MAC VAL - Entrez dans mon atelier,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Arts visuels,Musées,Peinture,Photographie,Sculpture",Sous-titrage,Toute une vie ne suffit pas,Accès permanent
2318,France Télévisions,75001,75,Paris,https://www.lumni.fr/programme/la-collab-de-l-info,,La collab' de l'info,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques",Éducation aux médias,,Le temps d’une soirée,Accès permanent
2626,Centre national du Livre  (CNL),75001,75,Paris,https://centrenationaldulivre.fr/actualites/son-livre-le-nouveau-podcast-du-cnl,,Son Livre,Livres,Tous publics,"Audio, radio, podcasts","Littérature, sciences humaines, langues",,Le temps d’un vrai déjeuner,Accès permanent
2664,Théâtre du Jeu de Paume,13100,13,Aix-en-Provence,https://www.lestheatres.net/fr/34-theatre-du-jeu-de-paume,,Découvrez tous les secrets des coulisses du Jeu de Paume !,"Films, documentaires, vidéos",Tous publics,Expositions virtuelles,"Monuments historiques,Musique, concerts et opéras,Théâtre, Spectacles",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2693,Centre de musique baroque de Versailles,78000,78,Versailles,https://expodcast.cmbv.fr/fr,,Les musiques de Molière,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts,Ressources pédagogiques","Musique, concerts et opéras,Théâtre, Spectacles",,Le temps d’une soirée,Accès permanent
2702,Musée du Louvre-Lens,62300,62,Lens,https://soundcloud.com/musee-du-louvre-lens,,Podcasts du Louvre-Lens,"Expos, musées",Tous publics,"Audio, radio, podcasts","Arts visuels,Musées",,Le temps d’un week-end,Accès permanent
602,Archives départementales - Jura,39570,39,Montmorot,http://archives39.fr/Actions-patrimoniales-educatives-et-scientifiques/p7/Expositions-virtuelles-des-Archives,,Archives en ligne,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,Navigation au clavier,Le temps d’un vrai déjeuner,Accès permanent
604,Archives départementales - Loire,42000,42,Saint-Etienne,https://www.loire.fr/jcms/lw_1268103/tresors-d-archives?rlb=c_770365,,Trésors d'archives,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’une soirée,Accès permanent
675,Bibliothèque nationale de France (BNF),75001,75,Paris,https://www.retronews.fr/?fbclid=IwAR0dtxds8mtVwuBLKbTYymnCsT1sCClC_fPd1w-G7hPgL-0ZKNoN2u5QthU,,Rétro-News,"Actualités, débats",Tous publics,"Images, collections numérisées, bases de données","Histoire,Littérature, sciences humaines, langues",,Toute une vie ne suffit pas,Accès permanent
893,Labex Les passés dans le présent - Université Paris Nanterre,92000,92,Nanterre,http://www.lacontemporaine.fr/expositions/ldh/,,Expositions virtuelles,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Histoire,Littérature, sciences humaines, langues",,Le temps d’un vrai déjeuner,Accès permanent
924,Maison de Chateaubriand,92290,92,Châtenay-Malabry,http://chateaubriand-moyenage.fr,,"Webdocumentaire ""Chateaubriand et le Moyen Âge""","Films, documentaires, vidéos",Tous publics,Expositions virtuelles,"Histoire,Musées",Audiodescription (AD),Le temps d’un vrai déjeuner,Accès permanent
938,Médiathèques de Suresnes,92150,92,Suresnes,https://www.youtube.com/user/MediathequeSuresnes/playlists,,Les médiathèques sur Youtube,Audios,Tous publics,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Le temps d’un vrai déjeuner,Accès permanent
960,MuMA-Musée de Mayotte,97615,97,"Dzaoudzi, Mayotte",https://www.guidigo.com/Web/Le-Rocher-de-Dzaoudzi--francais/24GvYM9BDe4/,,Le Rocher de Dzaoudzi,"Expos, musées",Tous publics,Expositions virtuelles,Histoire,,Le temps d’un vrai déjeuner,Accès permanent
1001,Musée de la gendarmerie nationale,75001,75,Paris,"https://www.google.com/maps/@48.5453775,2.6526826,3a,75y,48.66h,98.13t/data=!3m7!1e1!3m5!1sAF1QipPB7OiTH3lD3NS5PgSKks7In30IUsbkHqspTsPC!2e10!3e12!7i11898!8i5949",,Visite virtuelle,"Expos, musées",Tous publics,Expositions virtuelles,Musées,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1111,Orchestre de l'Alliance,75001,75,Paris,https://orchestredelalliance.fr/orchestre/culturecheznous/,,Exploration musicale avec l'Orchestre de l'Alliance,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
1142,Radio France,75001,75,Paris,https://www.francemusique.fr/concerts,,Concerts de France Musique,Audios,Tous publics,"Audio, radio, podcasts","Audiovisuel,Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
1165,Réunion des musées nationaux - Grand Palais (Rmn-GP),75001,75,Paris,https://art.rmngp.fr/fr,,Images d’art,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Archéologie,Musées,Peinture,Sculpture",,Le temps d’un vrai déjeuner,Accès permanent
1210,Universcience,75001,75,Paris,http://www.cite-sciences.fr/fr/ressources/juniors/a-toi-de-jouer/#item-grid-604,Primaire|Collège,Curiotek - A toi de jouer !,Jeux,Enfants,"Ressources pédagogiques,Jeux,Expositions virtuelles","Arts numériques,Éducation artistique et culturelle,Histoire,Sciences","Jeu utilisant du HTML,Navigation au clavier",Le temps d’une soirée,Accès permanent
2455,Comédie-Française,75001,75,Paris,https://www.youtube.com/playlist?list=PLT726svQj4wm9Lk6NuEFaXsYncpQKt5wM,,Théâtre à la table,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Théâtre, Spectacles",,Le temps d’une soirée,Accès permanent
2685,Muséum national d'Histoire naturelle,75001,75,Paris,https://www.mnhn.fr/fr/nous-et-les-autres-le-podcast,,"Nous et les autres, le podcast",Audios,Tous publics,"Audio, radio, podcasts","Histoire,Littérature, sciences humaines, langues,Sciences",,Le temps d’un vrai déjeuner,Accès permanent
2712,Musée des Beaux-Arts de Rennes,35000,35,Rennes,http://mba.rennes.fr/fr/actualites/contenus/,,Les contenus en ligne du Musée des Beaux-Arts de Rennes,"Expos, musées",Tous publics,"Vidéo, flux en direct, programmes en différé,Ressources pédagogiques,Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels,Images, collections numérisées, bases de données,Jeux","Arts visuels,Musées,Peinture,Sculpture",,Le temps d’un vrai déjeuner,Accès permanent
1340,TV5 Monde,75001,75,Paris,https://bibliothequenumerique.tv5monde.com/,,Bibliothèque numérique francophone,Livres,Tous publics,Livres numériques,"Littérature, sciences humaines, langues",,Toute une vie ne suffit pas,Accès permanent
1342,Université Paris 1 Panthéon-Sorbonne - Ecole Doctorale d'Archéologie,75001,75,Paris,https://www.youtube.com/channel/UCGcxqQOCHDqayis8GgM6rBQ,,"Past & Curious, la série d'archéologie","Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Archéologie,Audiovisuel,Éducation artistique et culturelle,Histoire,Sciences",Sous-titrage (ST),Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1343,La Croix,92000,92,Montrouge,https://www.youtube.com/user/lacroixvideo/playlists?view=50&sort=dd&shelf_id=22,,Médias dans l'arène,"Actualités, débats",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps d’une soirée,Accès permanent
1370,Fondation Orange,75001,75,Paris,https://www.lecteurs.com/ebooks,,Plus de 1 200 ebooks gratuits,Livres,Tous publics,Livres numériques,"Littérature, sciences humaines, langues,Histoire,Sciences",,Toute une vie ne suffit pas,Accès permanent
1400,TV5 Monde,75001,75,Paris,https://langue-francaise.tv5monde.com/decouvrir/voyager-en-francais/ta-langue-en-dit-long,,Ta langue en dit long,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Histoire,Littérature, sciences humaines, langues",,Le temps d’un week-end,Accès permanent
1453,Philharmonie de Paris,75001,75,Paris,https://monsieur-onde.com/,,Monsieur Onde,"Films, documentaires, vidéos",Enfants,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
1631,Labanque,62400,62,Béthune,https://www.youtube.com/watch?v=GsBd_ifzyvg,,"Exposition ""Layers"" art moderne et contemporain nigérian","Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles",Arts visuels,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1688,MAC VAL - Musée d'art contemporain du Val-de-Marne,94400,94,Vitry-sur-Seine,http://www.macval.fr/Pour-une-decouverte-ludique-des-expositions,Maternelle|Primaire|Collège,MAC VAL - Ateliers enfants,"Expos, musées",Tous publics,Jeux,Musées,Sous-titrage,Toute une vie ne suffit pas,Accès permanent
1703,Bibliothèque nationale de France,75001,75,Paris,https://gallica.bnf.fr/html/und/litteratures/les-classiques-de-la-litterature,,Classiques de la littérature,Livres,Parents / Éducateurs,Livres numériques,"Littérature, sciences humaines, langues",Navigation au clavier,Toute une vie ne suffit pas,Accès permanent
1749,Fondation Claude Monet,27620,27,Giverny,https://fondation-monet.com/visite-virtuelle/,,Visitez la maison de Claude Monet,"Expos, musées",Tous publics,Expositions virtuelles,"Arts visuels,Musées",,Le temps d’un vrai déjeuner,Accès permanent
