Identifiant (ID),Nom de l'organisme,Code postal,Département,Commune,Lien vers la ressource,"si ""enfants"", merci de préciser le niveau scolaire",Titre de la ressource,"Activité proposée (apprendre, se divertir, s’informer,...)",Public cible,Types de ressources proposées,Thématiques,Contenus adaptés aux types de handicap,"Temps d’activité estimé (lecture, écoute, visionnage, jeu)",Pérennité de la ressource
859,Institut national d’histoire de l’art (INHA),75001,75,Paris,https://bibliotheque-numerique.inha.fr/,,Bibliothèque numérique,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Histoire,Musées,Peinture,Sculpture",,Le temps d’une soirée,Accès permanent
1211,Université Paris sciences et lettres,75001,75,Paris,https://explore.psl.eu/fr/decouvrir/expositions-virtuelles,,Exposition virtuelles,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Histoire,Sciences",,Le temps d’un vrai déjeuner,Accès permanent
1284,Art Kids Company,75001,75,Paris,https://www.artkidscompany.com/mon-atelier-a-la-maison/,Maternelle|Primaire,Mon Atelier à la Maison,Partager ses passions,Enfants,"Ressources pédagogiques,Création et pratiques artistiques","Art urbain (graph, hip hop, street art…),Arts décoratifs, design, métiers d’art,Arts visuels,Éducation artistique et culturelle",,Le temps d’un vrai déjeuner,Accès permanent
1494,APARR - Association des professionnels du cinéma et de l'audiovisuel de Bourgogne-Franche-Comté,21000,21,Dijon,https://www.docsicicourtsla.com/,,"Docs ici, Courts là","Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Audiovisuel,Cinéma",,Toute une vie ne suffit pas,Accès permanent
1823,Fonds régional d'art contemporain - Centre-Val de Loire,45000,45,Orléans,https://www.frac-centre.fr/ressources/entretiens-53.html,,Le Frac Centre en ligne,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Arts numériques,Arts visuels",Sous-titrage,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2296,Maison des Cultures du Monde - CFPCI,35500,35,Vitré,https://www.ressources-mcm.com/,,Portail numérique Ibn Ba????a,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts,Ressources pédagogiques,Images, collections numérisées, bases de données","Danse,Musique, concerts et opéras,Théâtre, Spectacles",,Toute une vie ne suffit pas,Accès permanent
2379,Centre des arts,95880,95,Enghien Les Bains,https://www.youtube.com/channel/UCMUbLK98OgtNmi9-DE-VX0Q/featured,,Ciné club Charlotte Garson,Approfondir ses connaissances,Parents / Éducateurs,"Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels","Cinéma,Éducation artistique et culturelle",,Le temps d’une soirée,Accès permanent
2399,France Télévisions,75001,75,Paris,https://www.francetvinfo.fr/replay-magazine/franceinfo/vrai-ou-fake-l-emission/,,"Vrai ou Fake, l'émission","Actualités, débats",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps d’un vrai déjeuner,Accès permanent
2470,Ville de Lille,59000,59,Lille,https://lilleenjeux.yunow.app/1414-lille-en-jeux/4225-lille-en-jeux-collection-hiver,,Lille en jeux,Jeux,Enfants,Jeux,Architecture et patrimoine,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2669,Festival Faits d'hiver,75004,75,PARIS,https://www.faitsdhiver.com/,,Festival Faits d'hiver 2022,"Concerts, spectacles",Tous publics,Création et pratiques artistiques,Danse,Langue des signes française (LSF),Toute une vie ne suffit pas,Accès permanent
2692,Angers Nantes Opéra,44000,44,Nantes,https://www.youtube.com/playlist?list=PLGM5vfRL4hqhDCjZ5AKbUdUvYc3o87K2M,,Captations,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
2698,Mucem (Musée des civilisations de l'Europe et de la Méditerranée),13000,13,Marseille,https://www.youtube.com/playlist?list=PLV8AeRh7xO8DE0ew-Ox3jlThi3zBFuz9q,,"Algérie-France, La Voix des objets",Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts","Archives,Arts visuels,Histoire,Musées",,Le temps d’un vrai déjeuner,Accès permanent
2711,Musée des Beaux-Arts de Rennes,35000,35,Rennes,http://mba.rennes.fr/fr/article/sortir-du-cadre/,,Sortir du cadre,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Danse,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
757,Compagnie propos,69008,69,Lyon,https://www.compagnie-propos.com/radioguidages-d-interieur,,Radioguidages d'intérieur,Audios,Tous publics,"Audio, radio, podcasts",Danse,,Le temps d’un vrai déjeuner,Accès permanent
1009,Musée départemental Albert-Kahn,92100,92,Boulogne-Billancourt,http://14-18.albert-kahn.hauts-de-seine.fr/,,Les Archives de la planète numérisées,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Archives,Musées",Transcription textuelle,Le temps d’un vrai déjeuner,Accès permanent
1056,Musée national de l'histoire de l'immigration (EPPD),75001,75,Paris,https://cartes.histoire-immigration.fr/fr/cartes/galerie-des-dons,,Des récits de vie qui font l'histoire de l'immigration,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Histoire,Musées",,Le temps d’un vrai déjeuner,Accès permanent
1155,Rennes Ville et Métropole,35200,35,Rennes,https://metropole.rennes.fr/le-coin-lecture,,Le coin lecture,Livres,Tous publics,Livres numériques,"Littérature, sciences humaines, langues",Navigation au clavier,Le temps d’un vrai déjeuner,Accès permanent
1194,Théâtre du Soleil,75001,75,Paris,https://vimeo.com/theatredusoleil/videos,,Chaîne Viméo,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Théâtre, Spectacles",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1204,Transmettre le cinéma,26000,26,Valence,http://www.transmettrelecinema.com/,,Vidéothèque pour comprendre et partager le cinéma,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Audiovisuel,Cinéma,Histoire",,Le temps d’une soirée,Accès permanent
672,Bibliothèque nationale de France (BNF),75001,75,Paris,https://fantasy.bnf.fr/,,Fantasy,Approfondir ses connaissances,Tous publics,"Ressources pédagogiques,Livres numériques,Jeux","Arts numériques,Arts visuels,Littérature, sciences humaines, langues",,Le temps d’une soirée,Accès permanent
673,Bibliothèque nationale de France (BNF),75001,75,Paris,https://bdnf.bnf.fr/index.html#,,"BDnF, la fabrique à BD",Jeux,Tous publics,Jeux,Bande dessinée,,Le temps d’un vrai déjeuner,Accès permanent
732,Château de Versailles,78000,78,Versailles,https://www.youtube.com/chateauversailles,,Chaîne Youtube,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Histoire,Parcs et jardins,Peinture",,Le temps d’un vrai déjeuner,Accès permanent
768,Département des Pyrénées-orientales,66000,66,Perpignan,https://visitezlepayscatalan.fr/visite-virtuelle.html,,Visites virtuelles en pays catalan,"Expos, musées",Tous publics,Expositions virtuelles,"Architecture et patrimoine,Monuments historiques",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
770,Des Livres à Lire et à Entendre,75001,75,Paris,http://www.litteratureaudio.com/,,Livres audio,Livres,Tous publics,Livres numériques,"Littérature, sciences humaines, langues,Histoire","Transcription textuelle,Audiodescription (AD),Jeu utilisant du HTML,Navigation au clavier,Facile à lire et à comprendre (FALC),Langue des signes française (LSF),Sous-titrage (ST)",Toute une vie ne suffit pas,Accès permanent
821,Fonds de dotation pour la gestion et la valorisation du patrimoine pharmaceutique,75001,75,Paris,https://artetpatrimoinepharmaceutique.fr/exhibit/9,,Expositions virtuelles,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Architecture et patrimoine,Histoire,Musées,Sciences",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
829,Fonds régional d'art contemporain - Nouvelle-Aquitaine,33800,33,Bordeaux,http://conquetedelart.fr/index.php,,La conquête de l'art : les webdocs du FRAC Nouvelle Aquitaine,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Arts décoratifs, design, métiers d’art",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
847,Groupe de recherches et d'essais cinématographiques (GREC),75001,75,Paris,http://www.grec-info.com/films_en_ligne.php,,Films en ligne,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Audiovisuel,Cinéma",,Toute une vie ne suffit pas,Accès permanent
874,L'Arche Musée et Archives,97500,97,Saint-Pierre,https://www.arche-musee-et-archives.net/fr/8-expos-virtuelles.html,,Expositions virtuelles,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données,Expositions virtuelles","Architecture et patrimoine,Archéologie,Histoire,Musées,Peinture,Sculpture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1050,Musée Fournaise,78400,78,Chatou,https://www.musee-fournaise.com/Decouvrir-le-musee/Collection-expositions-passees/Collection-beaux-arts/La-Collection,,Oeuvres commentées,"Expos, musées",Parents / Éducateurs,"Images, collections numérisées, bases de données","Musées,Peinture",,Le temps d’un week-end,Accès permanent
1122,Palais des Beaux-Arts,59000,59,Lille,http://pba.lille.fr/Visiter/Famille/Les-chefs-d-oeuvre-des-enfants,Primaire,Les chefs-d'œuvre racontés aux enfants,"Expos, musées",Enfants,Ressources pédagogiques,"Arts visuels,Musées,Peinture",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1163,Réunion des musées nationaux - Grand Palais (Rmn-GP),75001,75,Paris,https://www.grandpalais.fr/fr/article/tous-nos-dossiers-pedagogiques,,Les dossiers pédagogiques du Grand Palais,Approfondir ses connaissances,Parents / Éducateurs,Ressources pédagogiques,Éducation artistique et culturelle,,Le temps d’un week-end,Accès permanent
1193,Théâtre du Châtelet,75001,75,Paris,https://www.chatelet.com/magazine/tchatextra/,,Spectacles en streaming,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Théâtre, Spectacles",,Le temps d’une soirée,Accès permanent
1031,Musée du Louvre,75001,75,Paris,https://www.louvre.fr/images-du-louvre,,Images du Louvre,Approfondir ses connaissances,Parents / Éducateurs,Ressources pédagogiques,"Architecture et patrimoine,Archéologie,Peinture,Sculpture,Musées",,Le temps d’une soirée,Accès permanent
1279,Institut Lumière,69008,69,Lyon,https://soundcloud.com/festival-lumiere/sets/master-class-2018,,Les MasterClass,Audios,Tous publics,"Audio, radio, podcasts",Cinéma,,Le temps d’un week-end,Accès permanent
1315,Château de Versailles,78000,78,Versailles,http://www.chateauversailles.fr/grands-formats/poum-tiya,Maternelle|131|142|Primaire|Collège|Lycée,Poum-Tiya et le Roi-Soleil,Livres,Enfants,Livres numériques,"Architecture et patrimoine,Histoire,Musées,Peinture",Transcription textuelle,Le temps d’un vrai déjeuner,Accès permanent
1322,Institut catholique de Paris,75001,75,Paris,https://bibliotheque-numerique.icp.fr/expositions?father_id=8610,,Expositions virtuelles,"Expos, musées",Tous publics,Expositions virtuelles,"Littérature, sciences humaines, langues",,Le temps d’un vrai déjeuner,Accès permanent
1357,Centre Pompidou,75001,75,Paris,https://prisme7.io/fr,,Prisme 7,Jeux,Tous publics,Jeux,"Arts numériques,Audiovisuel,Musées",,Le temps d’une soirée,Accès permanent
1371,Jeu de Paume,75001,75,Paris,http://espacevirtuel.jeudepaume.org/category/archives/,,L'espace virtuel,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Arts visuels,Photographie",,Le temps d’un vrai déjeuner,Accès permanent
1582,OPPIC,75013,75,PARIS,http://www.oppic.fr/rubrique178.html,,Retour en images sur les grands chantiers de l'Etat,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Architecture et patrimoine,Facile à lire et à comprendre (FALC),Le temps d’un vrai déjeuner,Accès permanent
1729,Musée de la Loire,58200,58,COSNE-COURS-SUR-LOIRE,https://www.museedelaloire.fr/evenements-2/,,Les ateliers du mercredi online,Jeux,Enfants,"Ressources pédagogiques,Jeux,Création et pratiques artistiques",Éducation artistique et culturelle,Transcription textuelle,Le temps d’un vrai déjeuner,Accès permanent
1756,"SUDS, à ARLES",13200,13,Arles,https://www.youtube.com/playlist?list=PLGDNigY3h0dWqjz1xdxVz_Zrw5U4khcg3,,"Les Suds, en résidence",Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé,Cours en ligne, cours en ligne ouverts et massifs, conférences, tutoriels,Création et pratiques artistiques","Danse,Éducation artistique et culturelle,Musique, concerts et opéras",Navigation au clavier,Le temps d’un vrai déjeuner,Accès permanent
1807,"Musée d'art contemporain de la Haute-Vienne, château de Rochechouart",87600,87,Rochechouart,https://www.youtube.com/playlist?list=PLr8gz4Ft5ZSp3Rd9v9SwV4tYUi8qq2cK2,,Visite virtuelle des expositions - Chaine Youtube,"Expos, musées",Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Architecture et patrimoine,Arts visuels,Musées,Peinture",Facile à lire et à comprendre (FALC),Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1848,Musée Saint-Raymond,31000,31,Toulouse,https://villachiragan.saintraymond.toulouse.fr/,,Le catalogue numérique de la villa de Chiragan,"Expos, musées",Parents / Éducateurs,"Images, collections numérisées, bases de données,Livres numériques","Archéologie,Histoire",,Le temps d’une soirée,Accès permanent
1911,ARCADE,76330,76,Notre-Dame-de-Gravenchon,https://www.youtube.com/channel/UC_oXrtUyf04RuDVOG3JuPww,,ARCADE,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé",Audiovisuel,,Le temps d’une soirée,Accès permanent
2112,Les Déclencheurs,13200,13,Arles,https://www.les-declencheurs.com/copie-de-traqueurs-2,,Traqueurs d'infox,"Actualités, débats",Tous publics,Jeux,Éducation aux médias,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2128,Le Festival d'Automne à Paris,75001,75,Paris,https://www.festival-automne.com/p/livestream-table-ronde-podcasts,,Le Festival d'Automne à Paris,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts","Théâtre, Spectacles",,Le temps d’un week-end,Accès permanent
2131,Espace de l'Art Concret,06370,06,Mouans-Sartoux,https://www.youtube.com/watch?v=oxBOmrJRp8c&t=24s,,Visites flash,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Arts visuels,Musées",Sous-titrage,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2322,France Télévisions,75001,75,Paris,https://www.france.tv/slash/dans-ton-tel/,,Dans ton tél,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps d’une soirée,Accès permanent
2328,Chaine YouTube,75001,75,Paris,https://www.youtube.com/c/Hygi%C3%A8neMentale,,Hygiène Mentale,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Toute une vie ne suffit pas,Accès permanent
2414,Tous danseurs,75001,75,Paris,https://podcastfrance.fr/podcasts/creations/tous-danseurs/,,Tous danseurs (Podcasts),Audios,Tous publics,"Audio, radio, podcasts",Danse,,Le temps d’une soirée,Accès permanent
2546,archives départementales des Vosges,88000,88,Epinal,https://apps.apple.com/fr/app/places-des-vosges/id1479193444,,"Places des Vosges, application pour smartphone",Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données","Archéologie,Architecture et patrimoine,Histoire,Monuments historiques,Musées,Parcs et jardins",,Le temps d’un week-end,Accès permanent
2577,Institut de France,75001,75,Paris,https://www.napoleonimages.institutdefrance.fr/,,"Napoléon, apologie et satire, images d'un règne","Expos, musées",Tous publics,Expositions virtuelles,"Arts visuels,Histoire",,Le temps d’un week-end,Accès permanent
2617,Espace Richaud,78000,78,Versailles,https://my.matterport.com/show/?m=f187UF7LY3z,,"Visite virtuelle ""Willy Ronis en RDA, la vie culturelle avant tout""","Expos, musées",Tous publics,Expositions virtuelles,"Arts visuels,Musées,Photographie",,Le temps d’un vrai déjeuner,Accès permanent
2671,Musée de Grenoble,38000,38,Grenoble,https://my.matterport.com/show/?m=BMofKj3hHTW,,Bonnard. Les couleurs de la lumière,"Expos, musées",Tous publics,Expositions virtuelles,"Arts visuels,Musées,Peinture",,Le temps d’un vrai déjeuner,Accès permanent
2676,Musée national de la Marine,75001,75,Paris,http://www.musee-marine.fr/blog/musee_marine_renovation/2020/11/23/au-coeur-dune-metamorphose-episode-04-saison-02/,,Au coeur d'une métamorphose,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Monuments historiques,Musées",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
2706,Orchestre symphonique Mulhouse,68100,68,Mulhouse,https://www.youtube.com/playlist?list=PLLSS6hAYlgpK5EfeLAiqCZbV0ODEffkZH,,Concerts,"Concerts, spectacles",,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Le temps d’un week-end,Accès permanent
1090,Odéon - Théâtre de l'Europe,75001,75,Paris,https://www.theatre-odeon.eu/fr/espace-presse/cycle-pirandello,,Théâtre et canapé continue et évolue,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts","Théâtre, Spectacles",,Le temps d’un week-end,Accès permanent
598,Archives départementales - Hautes-Alpes,05000,05,Gap,https://archives.hautes-alpes.fr/galerie/galerie/index/n:99,,Dossiers thématiques et expositions virtuelles,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’un vrai déjeuner,Accès permanent
636,Archives municipales,22000,22,Saint-Brieuc,http://archives.saint-brieuc.fr/r/4/archives-en-ligne/,,Archives en ligne,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données,Ressources pédagogiques",Archives,,Le temps d’un vrai déjeuner,Accès permanent
649,ARTE,92130,92,Issy-les-Moulineaux,http://www.arte.tv/concert,,ARTE Concert,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Audiovisuel,Musique, concerts et opéras",,Toute une vie ne suffit pas,Accès permanent
877,La Cinémathèque française,75001,75,Paris,https://www.cinematheque.fr/decouvrir.html,,Leçons de cinéma,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles",Cinéma,,Le temps d’un week-end,Accès permanent
878,La Cité des Congrès de Nantes / Les UTOPIALES,44000,44,Nantes,https://www.actusf.com/detail-d-un-article/utopiales-2019-les-conf%C3%A9rences,,"Les UTOPIALES, Festival International de Science-Fiction de Nantes / 20e édition",Audios,Tous publics,"Audio, radio, podcasts","Arts numériques,Bande dessinée,Cinéma,Littérature, sciences humaines, langues,Sciences",,Toute une vie ne suffit pas,Accès permanent
992,Musée de Bretagne,35011,35,Rennes,https://www.musee-bretagne.fr/preparer-sa-venue/applications-de-visites/,,Visites virtuelles au musée de Bretagne,"Expos, musées",Tous publics,Expositions virtuelles,Musées,,Le temps d’un vrai déjeuner,Accès permanent
1051,Musée français de la Photographie,91570,91,Bièvres,http://www.museedelaphoto.fr/,,"Visiter une exposition virtuelle, parcourir les collections","Expos, musées",Tous publics,"Ressources pédagogiques,Images, collections numérisées, bases de données,Jeux,Expositions virtuelles",Photographie,,Le temps d’un vrai déjeuner,Accès permanent
1167,Réunion des Opéras de France,75001,75,Paris,https://www.tous-a-lopera.fr/tous-a-lopera/activites-decouverte-opera.aspx,,Tous à l’Opéra !,"Concerts, spectacles",Enfants,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
1212,Université Paris sciences et lettres,75001,75,Paris,https://www.ens.psl.eu/actualites/decouvrez-les-savoirs-de-l-ecole-1,,Les savoirs de l’École,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé","Histoire,Sciences",,Le temps d’un vrai déjeuner,Accès permanent
1243,Réunion des musées nationaux - Grand Palais (Rmn-GP),75001,75,Paris,https://histoire-image.org/fr,,Histoire par l'image,"Expos, musées",Tous publics,72.0,"Musées,Photographie",,Le temps d’un vrai déjeuner,Accès permanent
1819,Rouen nouvelles bibliothèques,76000,76,rouen,https://rnbi.rouen.fr/fr/actualit%C3%A9/fil-bib-lectures-au-bout-du-fil,,FilBIB,Audios,Tous publics,"Audio, radio, podcasts","Littérature, sciences humaines, langues",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
578,ARCHEA,95380,95,Louvres,https://www.youtube.com/user/ARCHEAPaysdeFrance/playlists,,Pays de France,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Archéologie,Histoire",Sous-titrage (ST),Le temps d’un week-end,Accès permanent
609,Archives départementales - Marne,51000,51,Chalons-en-Champagne,https://archives.marne.fr/?id=recherche_guidee,,Archives en ligne,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’une soirée,Accès permanent
637,Archives municipales du Havre,76620,76,Le Havre,https://archives.lehavre.fr/expositions-virtuelles/1517-le-havre,,Archives en ligne,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données",Archives,,Le temps d’un vrai déjeuner,Accès permanent
642,Archives nationales d'outre-mer,13001,13,Aix-en-Provence,http://www.archivesnationales.culture.gouv.fr/anom/fr/Action-culturelle/Expositions-virtuelles.html,,Expositions virtuelles,Approfondir ses connaissances,Tous publics,"Images, collections numérisées, bases de données,Expositions virtuelles",Archives,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
670,Bibliothèque municipale,02200,02,Soissons,https://my.matterport.com/show/?m=Wcxj68V4mFh,,Visite virtuelle du fonds patrimonial,"Expos, musées",Tous publics,Expositions virtuelles,"Littérature, sciences humaines, langues",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
730,Château de Versailles,78000,78,Versailles,http://www.chateauversailles.fr/actualites/vie-domaine/etonnant-versailles,,Etonnant Versailles,"Films, documentaires, vidéos",Tous publics,"Vidéo, flux en direct, programmes en différé","Architecture et patrimoine,Histoire,Monuments historiques,Parcs et jardins,Peinture",,Le temps d’un vrai déjeuner,Accès permanent
742,Cité de la dentelle et de la mode,62100,62,Calais,https://artsandculture.google.com/partner/cite-de-la-dentelle-et-de-la-mode-de-calais,,Expositions virtuelles,"Expos, musées",Parents / Éducateurs,Expositions virtuelles,Mode,,Le temps d’un vrai déjeuner,Accès permanent
820,Fonds de dotation pour la gestion et la valorisation du patrimoine pharmaceutique,75001,75,Paris,https://artetpatrimoinepharmaceutique.fr/search/home,,Art et patrimoine pharmaceutique,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Architecture et patrimoine,Histoire,Musées,Sciences",,Le temps d’un vrai déjeuner,Accès permanent
842,France Télévisions,75001,75,Paris,https://www.francetvinfo.fr/vrai-ou-fake/,,Vrai ou fake,"Actualités, débats",Tous publics,"Vidéo, flux en direct, programmes en différé",Éducation aux médias,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
940,Médiathèques Valence Romans Agglo,26000,26,Valence,https://www.lempreinte.valenceromansagglo.fr/parcours.htm,,Expositions en ligne,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données,Expositions virtuelles","Histoire,Littérature, sciences humaines, langues",,Le temps d’un vrai déjeuner,Accès permanent
942,Mezzo,75001,75,Paris,https://www.mezzo.tv/fr/programme,,Mezzo Live,"Concerts, spectacles",Tous publics,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Le temps d’une soirée,Accès permanent
959,MuMa musée d’art moderne André Malraux,76600,76,Le Havre,https://muma.wivi.fr/collections/b3931369-669a-4bf4-88c2-799466a5cab2?hl=fr,,Oeuvres commentées,Approfondir ses connaissances,Tous publics,"Audio, radio, podcasts","Arts décoratifs, design, métiers d’art,Arts visuels,Musées,Peinture",,Le temps d’un vrai déjeuner,Accès permanent
986,Musée d’Archéologie Nationale,78100,78,Saint-Germain-en-Laye,https://musee-archeologienationale.fr/archeoman,,Archeoman,"Expos, musées",Tous publics,Expositions virtuelles,"Archéologie,Histoire,Musées,Sculpture,Sciences",,Le temps d’un vrai déjeuner,Accès permanent
1008,Musée de Valence,26000,26,Valence,https://soundcloud.com/user-401959072/sets/redecouvrez-40-uvres-et-objets-emblematiques-du-musee,,Guides audio,Audios,Tous publics,"Audio, radio, podcasts","Archéologie,Musées",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1022,Musée des Beaux-Arts,54000,54,Nancy,https://www.nancy.fr/culturelle/adn-art-dans-nancy-392.html,,Arts dans Nancy,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données",Architecture et patrimoine,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1029,Musée du Jouet,78300,78,Poissy,https://www.ville-poissy.fr/index.php/sport-culture/equipements-culturels/musee-du-jouet/le-musee-a-la-maison.html,,Le musée à la maison,Approfondir ses connaissances,Enfants,Ressources pédagogiques,Arts visuels,,Le temps d’un vrai déjeuner,Accès permanent
1030,Musée du Jouet,39260,39,Moirans-en-Montagne,http://espaceenfants.musee-du-jouet.com/espaceenfant/espaceenfant,Maternelle|113|Primaire|Collège,Espace interactif,Jeux,Enfants,"Images, collections numérisées, bases de données,Jeux,Expositions virtuelles,Création et pratiques artistiques",Musées,,Le temps d’un vrai déjeuner,Accès permanent
1044,Musée du Théâtre Forain,45410,45,Artenay,https://www.youtube.com/playlist?list=PLOwGkuaugboR7Goun3LmX3FC1FUCdTT58,,Les tutos d'Arlequin,Approfondir ses connaissances,Parents / Éducateurs,"Vidéo, flux en direct, programmes en différé,Expositions virtuelles","Arts du cirque, arts de la rue",,Le temps d’une soirée,Accès permanent
1076,Musées en Centre-Val de Loire,45000,45,Orléans,https://webmuseo.com/ws/musees-regioncentre/app/collection/expo/5,,Parcours dans les collections,"Expos, musées",Tous publics,Expositions virtuelles,Sciences,,Le temps d’une soirée,Accès permanent
1128,Perpignan - Villes et pays d'art et d'histoire,66000,66,Perpignan,https://www.perpignantourisme.com/decouvrir/la-destination/les-applications-de-perpignan/perpignan-3d,,Perpignan 3D,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données","Architecture et patrimoine,Monuments historiques","Transcription textuelle,Facile à lire et à comprendre (FALC)",Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1129,Philharmonie de Paris,75001,75,Paris,https://pad.philharmoniedeparis.fr/conferences.aspx,,Conférences en ligne,Approfondir ses connaissances,Tous publics,"Vidéo, flux en direct, programmes en différé","Musique, concerts et opéras",,Toute une vie ne suffit pas,Accès permanent
1153,Rencontres de la photographie,13200,13,Arles,https://collection.rencontres-arles.com/,,La collection des rencontres,"Expos, musées",Tous publics,"Images, collections numérisées, bases de données",Photographie,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1161,Réunion des musées nationaux - Grand Palais (Rmn-GP),75001,75,Paris,https://www.grandpalais.fr/fr/article/decouvrez-lexpo-pompei-chez-vous,,Découvrez l'expo Pompéi chez vous,"Expos, musées",Tous publics,Expositions virtuelles,Architecture et patrimoine,,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1177,Sorbonne Université,75001,75,Paris,https://podtail.com/podcast/le-musee-des-sons/,,Le musée des sons,Audios,Tous publics,"Audio, radio, podcasts","Cinéma,Histoire,Littérature, sciences humaines, langues,Sciences",,Le temps de manger un sandwich pendant une pause déjeuner,Accès permanent
1242,Réunion des musées nationaux - Grand Palais (Rmn-GP),75001,75,Paris,https://www.panoramadelart.com/,,Panorama de l'art,"Expos, musées",Tous publics,72.0,"Arts visuels,Musées,Peinture",,Le temps d’un vrai déjeuner,Accès permanent
