Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Handiclap;Pays de la Loire;Loire-Atlantique;44000;1982;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_44109_4299;47.2316356767, -1.54831008605
Aurores Montréal;Île-de-France;Paris;75008;01/01/2013 00:00;Musique;Après-saison (6 septembre - 31 décembre);FEST_75108_4620;48.8725272666, 2.31258256042
Font'arts;Provence-Alpes-Côte d'Azur;Vaucluse;84210;1996;Spectacle vivant;;FEST_84088_4959;43.9960550539, 5.03959100234
La Planche à Clous;Bourgogne-Franche-Comté;Saône-et-Loire;71150;2013;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_71378_5568;46.8728849421, 4.75062759298
Big Up 974;La Réunion;La Réunion;97490;2010;Spectacle vivant;Décembre;FEST_97411_5727;-20.9329708192, 55.446867167
L'Air d'en Rire;Pays de la Loire;Vendée;85170;2004;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_85208_5753;46.8325959261, -1.3830312677
L'Estival de l'Abbaye de Maubuisson;Île-de-France;Val-d'Oise;95310;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_95572_6077;49.0441683455, 2.12861303743
Pianos d'hier, Talents d'aujourd'hui;Auvergne-Rhône-Alpes;Puy-de-Dôme;63120;;Musique;Après-saison (6 septembre - 31 décembre);FEST_63418_6335;45.7640786806, 3.48570267684
Grand Fénétra;Occitanie;Haute-Garonne;31000;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_31555_6673;43.5963814303, 1.43167293364
Festival du polar de Villeneuve-lez-Avignon;Occitanie;Gard;30400;2005;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_30351_7107;43.9771673582, 4.79466040665
Les briques rouges;Hauts-de-France;Nord;59117;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_59656_7211;50.7620461406, 3.05089776037
Les Nocturbaines;Île-de-France;Paris;75020;1996;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_75120_4772;48.8631867774, 2.40081982673
Les Bethmalais - festival rite;Occitanie;Ariège;9200;2013;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_09261_5887;42.9752923045, 1.15326595533
Raismes Fest;Hauts-de-France;Nord;59590;1998;Musique;Après-saison (6 septembre - 31 décembre);FEST_59491_5283;50.410089317, 3.48909318774
Viva Mexico, rencontres cinématographiques;Île-de-France;Paris;75004;2013;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_75104_4889;48.854228282, 2.35736193814
Festival de l'Orangerie de Sceaux;Île-de-France;Hauts-de-Seine;92330;01/01/1969 00:00;Musique;Saison (21 juin - 5 septembre);FEST_92071_6289;48.776816369, 2.29529414514
Jazz à Toulon;Provence-Alpes-Côte d'Azur;Var;83000;1990;Musique;Saison (21 juin - 5 septembre);FEST_83137_6609;43.1361589728, 5.93239634249
Big reggae festival;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6150;;Musique;Saison (21 juin - 5 septembre);FEST_06004_2677;43.587465146, 7.10635418256
F.A.M.E - Festival international de films sur la musique;Île-de-France;Paris;75003;01/01/2015 00:00;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_75103_4668;48.8567, 2.3508
Les Fous Chantants d'Alès;Occitanie;Gard;30100;1998;Musique;Saison (21 juin - 5 septembre);FEST_30007_139;44.1250099126, 4.08828501262
Jazz en Ouche;Normandie;Orne;61300;2000;Musique;Après-saison (6 septembre - 31 décembre);FEST_61214_2917;48.7561549553, 0.611126420423
Rencontres internationales de Lurs;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;4700;;Livre, littérature;Saison (21 juin - 5 septembre);FEST_04106_3497;43.9698343331, 5.8804940629
Quartier libre;Centre-Val de Loire;Indre-et-Loire;37000;2017;Musique;Saison (21 juin - 5 septembre);FEST_37261_6752;47.3986382281, 0.696526376417
Les nuits du sud;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6140;1998;Musique;Saison (21 juin - 5 septembre);FEST_06157_6963;43.7384640641, 7.10194436087
Festival de musique de chambre de beausoleil;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6230;;Musique;Avant-saison (1er janvier - 20 juin);FEST_06012_696;43.747724383, 7.42222154586
Festhea;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6005;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_06088_4384;43.7119992661, 7.23826889465
36h Saint Eustache;Île-de-France;Paris;75001;01/01/2005 00:00;Musique;Saison (21 juin - 5 septembre);FEST_75101_4607;48.8626304852, 2.33629344655
Festival Désobéissant;Île-de-France;Paris;75018;;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_75118_4684;48.8927350746, 2.34871193387
Diades François de Fossa;Occitanie;Pyrénées-Orientales;66000;2017;Musique;Saison (21 juin - 5 septembre);FEST_66136_4969;42.6965954131, 2.89936953979
Les chants de mars;Auvergne-Rhône-Alpes;Métropole de Lyon;69005;2007;Musique;Avant-saison (1er janvier - 20 juin);FEST_69148_3555;45.6609705564, 4.72076320026
Festival Databit.Me;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13200;;Musique;Après-saison (6 septembre - 31 décembre);FEST_13004_345;43.5468692378, 4.66215642574
Chamrousse en Piste;Auvergne-Rhône-Alpes;Isère;38410;2008;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_38567_1459;45.1197427134, 5.89438297795
Festi'femmes;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13007;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_13055_3708;43.296346, 5.369889
Festicolor;Centre-Val de Loire;Loiret;45130;2002;Musique;Avant-saison (1er janvier - 20 juin);FEST_45203_3889;47.8397230739, 1.69811579508
Solidays;Île-de-France;Paris;75016;1999;Musique;Saison (21 juin - 5 septembre);FEST_75116_4869;48.8567, 2.3508
Les Noces Félines;Grand Est;Marne;51100;2012;Musique;Après-saison (6 septembre - 31 décembre);FEST_51454_5335;49.2514906066, 4.0402302322
