Nom du festival;Région principale de déroulement;Département principal de déroulement;Code postal (de la commune principale de déroulement);Année de création du festival;Discipline dominante;Période principale de déroulement du festival;Identifiant;Géocodage xy
Festival occitan Camins de Crabas;Occitanie;Tarn;81120;2001;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_81222_5299;43.7799765873, 2.19017910647
Festival de musique de Richelieu;Centre-Val de Loire;Indre-et-Loire;37120;2007;Musique;Saison (21 juin - 5 septembre);FEST_37196_5436;47.0143945569, 0.315628916983
Festi'Bruant;Hauts-de-France;Nord;59790;2005;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_59507_5490;50.6044738955, 3.09168585537
Les nocturnes du vendredi;Auvergne-Rhône-Alpes;Haute-Savoie;74200;;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_74281_6565;46.3704258049, 6.48194336071
Médiévalivres;Normandie;Manche;50180;2018;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_50002_19;49.1154902114, -1.12991373053
Festival de l'anche;Provence-Alpes-Côte d'Azur;Var;83400;;Musique;Avant-saison (1er janvier - 20 juin);FEST_83069_2601;43.1018713534, 6.18898508469
Festival d'Artagnan;Occitanie;Gers;32290;2012;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_32219_3493;43.6880530746, 0.187356485668
Good Rockin' Tonight;Auvergne-Rhône-Alpes;Ain;1340;2003;Musique;Avant-saison (1er janvier - 20 juin);FEST_01024_402;46.2861802203, 5.1795233845
Opus opéra;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6500;;Musique;Saison (21 juin - 5 septembre);FEST_06064_2367;43.7652195423, 7.16877468184
Musicales Guil-Durance;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5600;1990;Musique;Saison (21 juin - 5 septembre);FEST_05065_2528;44.6680987436, 6.7010158705
Les Nuits d'Eole;Grand Est;Moselle;57950;01/01/1998 00:00;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_57480_4046;49.0953199106, 6.15452599506
American Jazz Festiv'Halles;Île-de-France;Paris;75001;01/01/2006 00:00;Musique;Saison (21 juin - 5 septembre);FEST_75101_4615;48.8626304852, 2.33629344655
Celtomania;Pays de la Loire;Loire-Atlantique;44162;1989;Musique;Après-saison (6 septembre - 31 décembre);FEST_44162_5896;47.2243762412, -1.63434818692
Bulles électriques;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13190;2016;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_13002_153;43.3533145712, 5.51134767187
Festival d'été : Briançon sous les étoiles;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5100;2021;Musique;Saison (21 juin - 5 septembre);FEST_05023_1067;44.8994986041, 6.64947524018
Rencontres des cinémas d'amérique latine et des caraïbes;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6400;2017;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_06029_1231;43.5526202843, 7.00427592728
ll était une voix;Auvergne-Rhône-Alpes;Allier;3110;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_03110_2133;46.1292798016, 3.33501762138
Coméd’istres;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13800;1998;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_13047_2637;43.5502689105, 4.9511813524
Saint Mandé Classic Jazz Festival;Île-de-France;Val-de-Marne;94160;01/01/2018 00:00;Musique;Avant-saison (1er janvier - 20 juin);FEST_94067_6015;48.842440243, 2.4192191088
Festival des vents;Provence-Alpes-Côte d'Azur;Vaucluse;84310;2002;Musique;Saison (21 juin - 5 septembre);FEST_84081_4171;43.9337788848, 4.90875878315
Les zaccros d'ma rue;Bourgogne-Franche-Comté;Nièvre;58000;2000;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_58194_4372;46.9881194908, 3.15689130958
Jazz à l'évêché;Centre-Val de Loire;Loiret;45100;2015;Musique;Avant-saison (1er janvier - 20 juin);FEST_45234_4541;47.8828634214, 1.91610357477
INVENTIO;Île-de-France;Seine-et-Marne;77160;2016;Musique;Saison (21 juin - 5 septembre);FEST_77379_5229;48.5633093312, 3.28756780085
Sur les routes de provence;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13256;;Musique;Saison (21 juin - 5 septembre);FEST_13055_3786;43.296346, 5.369889
Festival de Sablé;Pays de la Loire;Sarthe;72300;1979;Musique;Saison (21 juin - 5 septembre);FEST_72264_5574;47.8378265007, -0.354705885665
Festival de tango de Saint-Geniez-d'Olt;Occitanie;Aveyron;12130;2004;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_12224_5604;44.4732674724, 2.98156818185
Les impromptus;Bourgogne-Franche-Comté;Saône-et-Loire;71700;2016;Musique;Saison (21 juin - 5 septembre);FEST_71543_6721;46.5651726015, 4.90012429206
Les Jeudis de l'été;Nouvelle-Aquitaine;Charente;16360;2006;Musique;Saison (21 juin - 5 septembre);FEST_16384_6764;45.3740871149, -0.201503841604
Salon du livre et du jeu;Hauts-de-France;Somme;80300;2011;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_80016_100;50.0040829344, 2.6483138296
Fictions documentaires;Occitanie;Aude;11000;;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_11069_1257;43.2093798444, 2.34398855385
Semaines poétiques celloises;Nouvelle-Aquitaine;Deux-Sèvres;79370;2003;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_79061_1356;46.2405369288, -0.218181064771
Temps Fort Marionnettes;Grand Est;Haut-Rhin;68000;2010;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_68066_1748;48.1099405789, 7.38468690323
Palabrages;Occitanie;Gard;30100;2004;Livre, littérature;Saison (21 juin - 5 septembre);FEST_30091_1799;43.7752563981, 4.15881236462
The Green Escape;Auvergne-Rhône-Alpes;Haute-Loire;43500;1988;Musique;Saison (21 juin - 5 septembre);FEST_43080_1870;45.3318549451, 3.85314004519
La Grande Hâte;Bourgogne-Franche-Comté;Yonne;89500;2017;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_89142_2019;48.0776099615, 3.42365889592
Théâtrales d'entraigues-sur-la-sorgue;Provence-Alpes-Côte d'Azur;Vaucluse;84320;2013;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_84043_2104;43.9950173356, 4.93295387179
Jacques a dit !;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6510;2018;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_06033_1291;43.7850390592, 7.18414159904
Merci, bonsoir !;Auvergne-Rhône-Alpes;Isère;38100;2014;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_38185_2480;45.1821215167, 5.72133051752
Des Fées en Bulles;Bretagne;Ille-et-Vilaine;35150;;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_35136_2651;47.9428950804, -1.50038718382
Rencontre de Paroles;Nouvelle-Aquitaine;Charente-Maritime;17380;2008;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_17266_3264;45.9351578691, -0.656955735884
Missing Numero Festival;Bretagne;Ille-et-Vilaine;35133;;Musique;;FEST_35163_3485;48.293087363, -1.12955612436
Ciném’action - Rencontre avec les réalisateurs;Bourgogne-Franche-Comté;Haute-Saône;70200;2005;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_70310_3494;47.6851664568, 6.49651910322
Paroles en festival;Auvergne-Rhône-Alpes;Métropole de Lyon;69000;1987;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_69123_3573;45.759723, 4.842223
Tardoire Allegro;Nouvelle-Aquitaine;Charente;16220;2016;Musique;Saison (21 juin - 5 septembre);FEST_16223_4006;45.667656871, 0.504316384558
Architectures Vives;Occitanie;Hérault;34000;2006;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_34172_4072;43.6134409138, 3.86851657896
Festival du Tonton;Auvergne-Rhône-Alpes;Isère;38780;2011;Musique;Avant-saison (1er janvier - 20 juin);FEST_38288_4573;45.5646344835, 5.03134323358
Echappée musicale de Montbartier;Occitanie;Tarn-et-Garonne;82170;2019;Musique;Après-saison (6 septembre - 31 décembre);FEST_32123_3990;43.6455146384, 0.911624650166
Mimos;Nouvelle-Aquitaine;Dordogne;24000;1983;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_24322_4956;45.1918704873, 0.711825549847
Jazz and Blues;Nouvelle-Aquitaine;Gironde;33600;1996;Musique;Avant-saison (1er janvier - 20 juin);FEST_33318_4998;44.7915990521, -0.676303166277
Festi'Grenadine;Grand Est;Haut-Rhin;68120;2009;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_68256_5017;47.7696767881, 7.29485630306
Less Playboy Is More Cowboy;Nouvelle-Aquitaine;Vienne;86000;2011;Pluridisciplinaire;Après-saison (6 septembre - 31 décembre);FEST_86194_5116;46.5839207726, 0.359947653003
Zéro à la Tolérance Zéro;Bretagne;Côtes-d'Armor;22000;2005;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_22278_5691;48.5149806053, -2.76154552773
Salon du livre de jeunesse à Saint-Germain-lès-Arpajon;Île-de-France;Essonne;91180;1999;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_91552_5874;48.5982444605, 2.2646136849
Journée du livre de Saint-Martin-de-Jussac;Nouvelle-Aquitaine;Haute-Vienne;87200;1996;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_87164_6027;45.8608042276, 0.943622213531
Festival Eva Ganizate;Centre-Val de Loire;Indre;36170;2014;Musique;Saison (21 juin - 5 septembre);FEST_36182_5672;46.4476641903, 1.39936861789
Megascène;Pays de la Loire;Loire-Atlantique;44310;2015;Musique;Saison (21 juin - 5 septembre);FEST_44155_5719;47.0251492396, -1.55906118865
Les Rencontres de Socourt;Grand Est;Vosges;88130;;Musique;Saison (21 juin - 5 septembre);FEST_88458_6377;48.3963161508, 6.24974565871
Démostratif;Grand Est;Bas-Rhin;67000;2018;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_67482_6432;48.5712679849, 7.76752679517
Marché noir des petites utopies;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13000;2013;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_13055_3750;43.296346, 5.369889
Jazz or jazz;Centre-Val de Loire;Loiret;45100;2016;Musique;Avant-saison (1er janvier - 20 juin);FEST_45234_4542;47.8828634214, 1.91610357477
Festival de la haute clarée;Provence-Alpes-Côte d'Azur;Hautes-Alpes;5100;;Musique;Saison (21 juin - 5 septembre);FEST_05093_4368;45.0441286352, 6.59862935541
Des îles et des livres;Grand Est;Marne;51100;01/01/2014 00:00;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_51454_5320;49.2514906066, 4.0402302322
Chaulnes Metal Fest;Hauts-de-France;Somme;80320;2008;Musique;Avant-saison (1er janvier - 20 juin);FEST_80186_1587;49.8169359721, 2.80153906029
Summer Vibration Festival;Grand Est;Bas-Rhin;67600;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_67462_6318;48.2481136279, 7.46224896454
Jazz In Trivy;Bourgogne-Franche-Comté;Saône-et-Loire;71520;1998;Musique;Avant-saison (1er janvier - 20 juin);FEST_71547_6791;46.3907231408, 4.48743569605
Midi-minuit poésie;Pays de la Loire;Loire-Atlantique;44000;2014;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_44109_4311;47.2316356767, -1.54831008605
Foire internationale d'art contemporain - FIAC;Île-de-France;Paris;75007;1974;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_75107_4712;48.8560825982, 2.31243868773
Psymind origins;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13840;2017;Musique;Saison (21 juin - 5 septembre);FEST_13082_5478;43.6648781836, 5.35218247017
Les Mercredis du Jazz;Nouvelle-Aquitaine;Charente-Maritime;17300;2008;Musique;Saison (21 juin - 5 septembre);FEST_17299_5460;45.9432344536, -0.972356445692
Festival de polyphonies Tarba en Canta;Occitanie;Hautes-Pyrénées;65000;2010;Musique;Avant-saison (1er janvier - 20 juin);FEST_65440_6513;43.2347859635, 0.0660093937851
Sàćhô Galiero;Nouvelle-Aquitaine;Haute-Vienne;87260;2014;Musique;Saison (21 juin - 5 septembre);FEST_87203_7049;45.6495648123, 1.39073762507
Essonne en Scène;Île-de-France;Essonne;91730;01/01/2019 00:00;Musique;Saison (21 juin - 5 septembre);FEST_91132_1419;48.5167739657, 2.21800082924
St-Amand Fait Son Intéressant;Nouvelle-Aquitaine;Dordogne;24290;2010;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_24364_1758;45.0521923341, 1.24653200545
Festival Hip Hop Evolution;Mayotte;Mayotte;97660;2015;Spectacle vivant;Mars;FEST_97607_1943;-12.8534223602, 45.1755961092
Fenêtres sur courts;Bourgogne-Franche-Comté;Côte-d'Or;21000;1995;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_21231_1970;47.3229437965, 5.03788805877
Les Écrans de l'aventure;Bourgogne-Franche-Comté;Côte-d'Or;21000;1992;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_21231_1984;47.3229437965, 5.03788805877
Musical de Durtal;Pays de la Loire;Maine-et-Loire;49430;2015;Musique;Saison (21 juin - 5 septembre);FEST_49127_2070;47.6780515421, -0.254608332885
Le Mans fait son cirque;Pays de la Loire;Sarthe;72000;2001;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_72181_3124;47.9885256718, 0.200030493539
Festival Pré du son;Occitanie;Gers;32300;2015;Musique;saison (21 juin - 5 septembre);FEST_32254_3927;43.5464182509, 0.466668332736
Les heures festives;Bourgogne-Franche-Comté;Nièvre;58190;2017;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_58170_3949;47.3317643391, 3.66490728626
Le Printemps des comédiens;Occitanie;Hérault;34000;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_34172_4105;43.6134409138, 3.86851657896
Hors limites;Île-de-France;Seine-Saint-Denis;93500;2009;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_93055_2107;48.8983093876, 2.40872147475
Festi Bout Chou;Occitanie;Haute-Garonne;31140;2004;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_31410_4932;43.7112584886, 1.45879137829
Festival Expoésie;Nouvelle-Aquitaine;Dordogne;24000;2002;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_24322_4952;45.1918704873, 0.711825549847
World Kréyol Art Festival;Guadeloupe;Guadeloupe;97110;2018;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_97120_5098;16.2386006963, -61.5357180881
Bain de Blues;Bretagne;Ille-et-Vilaine;35470;2007;Musique;Avant-saison (1er janvier - 20 juin);FEST_35012_595;47.8302948158, -1.67649507218
Beaune Blues Boogie festival;Bourgogne-Franche-Comté;Côte-d'Or;21200;2006;Musique;Après-saison (6 septembre - 31 décembre);FEST_21054_688;47.0255189366, 4.83767985985
Automne musical Grand-Châtellerault;Nouvelle-Aquitaine;Vienne;86000;1989;Musique;Après-saison (6 septembre - 31 décembre);FEST_86066_1568;46.8156700185, 0.552598976936
Nuits Lyriques;Nouvelle-Aquitaine;Lot-et-Garonne;47200;1989;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_47157_3669;44.5055176845, 0.172174280849
Manga mania;Auvergne-Rhône-Alpes;Drôme;26200;2015;Pluridisciplinaire;Avant-saison (1er janvier - 20 juin);FEST_26198_4025;44.5540845734, 4.74869387765
Équinoxe;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13680;;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_13051_2940;43.5760406168, 5.15953601477
Eldorado Music Festival;Île-de-France;Paris;75011;01/01/2009 00:00;Musique;Après-saison (6 septembre - 31 décembre);FEST_75111_4664;48.8567, 2.3508
Faites de la chanson;Hauts-de-France;Pas-de-Calais;62000;2004;Musique;Après-saison (6 septembre - 31 décembre);FEST_62041_376;50.2898964997, 2.76587316711
Cinealma;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;6510;2007;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_06033_1289;43.7850390592, 7.18414159904
Adora;Provence-Alpes-Côte d'Azur;;;1989;Musique;Saison (21 juin - 5 septembre);FEST__7240;
Lapalisse, terre des hommes;Auvergne-Rhône-Alpes;Allier;3120;2016;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_03138_2987;46.264846808, 3.63838425184
Festival cubain bayamo;Provence-Alpes-Côte d'Azur;Var;83500;2000;Musique;Saison (21 juin - 5 septembre);FEST_83126_2893;43.0880294967, 5.87089841754
Loud & Proud;Île-de-France;Paris;75003;01/01/2015 00:00;Musique;Saison (21 juin - 5 septembre);FEST_75103_4783;48.8567, 2.3508
RON Festival;Île-de-France;Paris;75020;2014;Musique;Après-saison (6 septembre - 31 décembre);FEST_75120_4855;48.8567, 2.3508
La rue des artistes;Auvergne-Rhône-Alpes;Loire;42400;;Musique;Avant-saison (1er janvier - 20 juin);FEST_42207_5707;45.4698319517, 4.50184989506
Sur le champ !;Auvergne-Rhône-Alpes;Drôme;26000;2015;Musique;Saison (21 juin - 5 septembre);FEST_26362_6881;44.9229811667, 4.91444013136
Les oreilles du renard;Auvergne-Rhône-Alpes;Ardèche;7190;;Musique;Avant-saison (1er janvier - 20 juin);FEST_07295_6160;44.8202271347, 4.57255179328
Festival des Vents;Provence-Alpes-Côte d'Azur;Vaucluse;84310;2002;Musique;Saison (21 juin - 5 septembre);FEST_84081_4169;43.9337788848, 4.90875878315
Jazz campus en Clunisois;Bourgogne-Franche-Comté;Saône-et-Loire;71250;1977;Musique;Saison (21 juin - 5 septembre);FEST_71137_1714;46.4303628582, 4.67033276327
Binic Folks Blues Festival;Bretagne;Côtes-d'Armor;22520;2009;Musique;Saison (21 juin - 5 septembre);FEST_22055_825;48.6255350477, -2.8413899481
T'en veux en corps?;Auvergne-Rhône-Alpes;Ain;1000;;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_01053_986;46.2051520382, 5.24602125501
Festival Normandiebulle;Normandie;Seine-Maritime;76160;1996;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_76212_1924;49.4445058359, 1.15546994024
D'jazz au jardin;Bourgogne-Franche-Comté;Côte-d'Or;21000;2003;Musique;Saison (21 juin - 5 septembre);FEST_21231_1968;47.3229437965, 5.03788805877
Village Sessions;Nouvelle-Aquitaine;Charente;16320;2000;Musique;Saison (21 juin - 5 septembre);FEST_16198_3607;45.5088381667, 0.2552082811
La Kompagnie;Occitanie;Hérault;34070;2016;Musique;Avant-saison (1er janvier - 20 juin);FEST_34172_4102;43.6134409138, 3.86851657896
Chemins de traverses;Île-de-France;Seine-Saint-Denis;93160;2021;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_93051_4468;48.8361825401, 2.56443736814
Paris Paradis;Île-de-France;Val-d'Oise;75000;2018;Musique;Après-saison (6 septembre - 31 décembre);FEST_75116_2430;48.8567, 2.3508
Images de justice;Bretagne;Ille-et-Vilaine;35000;2003;Cinéma, audiovisuel;Avant-saison (1er janvier - 20 juin);FEST_35238_5363;48.1119791219, -1.68186449144
Balades Musicales en Oléron;Nouvelle-Aquitaine;Charente-Maritime;17190;2017;Musique;Saison (21 juin - 5 septembre);FEST_17337_5860;45.9762465553, -1.32432969206
Festival Les Rendez-Vous Soniques;Normandie;Manche;50000;2005;Musique;Après-saison (6 septembre - 31 décembre);FEST_50502_5983;49.1099624249, -1.07755642702
Fête de l’'accordéon;Bourgogne-Franche-Comté;Côte-d'Or;21210;2008;Musique;Saison (21 juin - 5 septembre);FEST_21584_6257;47.2840306915, 4.23192469784
Festival photo des Azimutés;Occitanie;Gard;30700;2015;Arts visuels, arts numériques;Avant-saison (1er janvier - 20 juin);FEST_30334_6829;44.0136590402, 4.41600031556
Tomorrowland Winter;Auvergne-Rhône-Alpes;Isère;38750;;Musique;Avant-saison (1er janvier - 20 juin);FEST_38191_2590;45.0969425761, 6.08474810987
Les Années Joué;Centre-Val de Loire;Indre-et-Loire;37300;1998;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_37122_2671;47.333556074, 0.654546300116
Festival de l'humour de Lillebonne;Normandie;Seine-Maritime;76170;1984;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_76384_3370;49.5087332809, 0.534041811072
Festival Arabesques;Occitanie;Hérault;34090;2005;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_34172_4080;43.6134409138, 3.86851657896
MIRR Festival;Île-de-France;Paris;75018;2016;Musique;Après-saison (6 septembre - 31 décembre);FEST_75118_4794;48.8567, 2.3508
Festival du livre de Pont-Saint-Esprit et du Gard rhodanien;Occitanie;Gard;30130;2013;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_30202_5172;44.2526637065, 4.63901945786
Festi'Val en Seine;Île-de-France;Seine-et-Marne;77670;;Musique;Saison (21 juin - 5 septembre);FEST_77419_6014;48.3867865582, 2.81899706389
SXM festival;Guadeloupe;Guadeloupe;97150;2016;Musique;Avant-saison (1er janvier - 20 juin);FEST__6021;18.086, -63.063
Festival international du cirque;Centre-Val de Loire;Indre-et-Loire;37000;2017;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_37261_6740;47.3986382281, 0.696526376417
Vrai repaire festival;Occitanie;Lot;46260;2018;Musique;Avant-saison (1er janvier - 20 juin);FEST_46328_6935;44.3684009412, 1.71781204622
Les Harmonies Estivales;Bourgogne-Franche-Comté;Yonne;89190;2014;Musique;Saison (21 juin - 5 septembre);FEST_89461_7106;48.2355837478, 3.56315804862
Fête du livre jeunesse de Villeurbanne;Auvergne-Rhône-Alpes;Métropole de Lyon;69601;1998;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_69266_7138;45.7707704179, 4.88845817426
Festival du rire;Auvergne-Rhône-Alpes;Haute-Loire;43200;1991;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_43268_7225;45.1393761299, 4.13104937731
Musilac;Auvergne-Rhône-Alpes;Savoie;73000;2002;Musique;Saison (21 juin - 5 septembre);FEST_73008_77;45.6978541675, 5.90388626955
Nuits romantiques;Auvergne-Rhône-Alpes;Savoie;73100;1996;Musique;Après-saison (6 septembre - 31 décembre);FEST_73008_78;45.6978541675, 5.90388626955
Ciné32 Indépendance(s) et Création;Occitanie;Gers;32000;1998;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_32013_439;43.6534300414, 0.575190250459
Jazz in Auffargis;Île-de-France;Yvelines;78610;2009;Musique;Après-saison (6 septembre - 31 décembre);FEST_78030_454;48.6842952632, 1.90243823035
Festival du film méditerranéen de Bastia - Arte Mar;Corse;Haute-Corse;20200;1988;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_2B033_645;42.6864768806, 9.42502133338
Scènes d'Eté;Hauts-de-France;Oise;60000;1992;Musique;Saison (21 juin - 5 septembre);FEST_60057_709;49.4365523321, 2.08616123661
Festival d’art Récup faut l'fer;Occitanie;Gard;30160;2019;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_30037_786;44.290395291, 4.10784015546
Festival de la bulle d'or;Auvergne-Rhône-Alpes;Rhône;69350;1985;Livre, littérature;Après-saison (6 septembre - 31 décembre);FEST_69027_1078;45.678117475, 4.75268787981
Les rencontres de Calenzana;Corse;Haute-Corse;20214;2000;Musique;Saison (21 juin - 5 septembre);FEST_2B049_1178;42.4784267166, 8.80369225001
Moments lyriques de Chartres et d'Eure et loir;Centre-Val de Loire;Eure-et-Loir;28000;1989;Musique;Après-saison (6 septembre - 31 décembre);FEST_28085_1510;48.4471464884, 1.50570610616
Festival du livre de Colmar;Grand Est;Haut-Rhin;68000;1990;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_68066_1739;48.1099405789, 7.38468690323
Kultur'Mix;Bourgogne-Franche-Comté;Côte-d'Or;21000;2013;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_21231_1980;47.3229437965, 5.03788805877
Série Series - le festival des séries européennes;Île-de-France;Seine-et-Marne;77300;2012;Cinéma, audiovisuel;Saison (21 juin - 5 septembre);FEST_77186_2254;48.4066856508, 2.68031396389
Festival des Berges du Miosson;Nouvelle-Aquitaine;Vienne;86340;2011;Musique;Avant-saison (1er janvier - 20 juin);FEST_86105_2412;46.4395803569, 0.423353423469
Festival du film écocitoyen Ecran Vert;Nouvelle-Aquitaine;Charente-Maritime;17000;2009;Cinéma, audiovisuel;Après-saison (6 septembre - 31 décembre);FEST_17300_2822;46.1620643972, -1.17465702836
La Salvetat en scène;Occitanie;Haute-Garonne;31880;2017;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_31526_3005;43.5754800218, 1.26616319872
Festi'Lav;Bourgogne-Franche-Comté;Doubs;25170;2017;Musique;Avant-saison (1er janvier - 20 juin);FEST_25332_3033;47.2443013496, 5.81882619384
Les Carrioles;Nouvelle-Aquitaine;Haute-Vienne;87230;2011;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_87029_3248;45.6748528482, 1.07139196993
Hip hop Games;Hauts-de-France;Nord;59800;2010;Spectacle vivant;Après-saison (6 septembre - 31 décembre);FEST_59350_3336;50.6317183168, 3.04783272312
Festival C - Chanson Française et Cirque Nouveau;Bourgogne-Franche-Comté;Nièvre;58140;1996;Musique;Saison (21 juin - 5 septembre);FEST_58145_3452;47.2894645643, 3.82491613793
Musa festival;Corse;Haute-Corse;20260;2018;Livre, littérature;Saison (21 juin - 5 septembre);FEST_2B150_3487;42.5800438458, 8.82575573819
Scènes en selle;Grand Est;Meurthe-et-Moselle;54300;2011;Spectacle vivant;Saison (21 juin - 5 septembre);FEST_54329_3492;48.5920244663, 6.49810324732
Festival des Truca Taoules;Occitanie;Hautes-Pyrénées;65200;;Musique;saison (21 juin - 5 septembre);FEST_65320_4040;43.1232297746, 0.111048955498
Salon du livre Peyrol'lire;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;13860;;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_11287_5011;42.9635540616, 2.33849254211
Allez hop ! Festival de théâtre bilingue et transfrontalier pour le jeune public;Grand Est;Bas-Rhin;67000;2012;Spectacle vivant;Avant-saison (1er janvier - 20 juin);FEST_67482_6420;48.5712679849, 7.76752679517
Des Planches et des Vaches;Normandie;Calvados;14200;2002;Livre, littérature;Avant-saison (1er janvier - 20 juin);FEST_14327_2572;49.2073560619, -0.331022626025
Festival celte en Gevaudan;Auvergne-Rhône-Alpes;Haute-Loire;43170;2007;Musique;Saison (21 juin - 5 septembre);FEST_43234_6254;44.9482034569, 3.53883236387
Festival International de Châteauroux - DARC;Centre-Val de Loire;Indre;36000;1976;Musique;Saison (21 juin - 5 septembre);FEST_36044_1549;46.8029617828, 1.69399812001
Contre-plongées de l'été;Auvergne-Rhône-Alpes;Puy-de-Dôme;63000;;Pluridisciplinaire;Saison (21 juin - 5 septembre);FEST_63113_1668;45.7856492991, 3.11554542903
Festival des Filets Bleus;Bretagne;Finistère;29900;1905;Musique;Saison (21 juin - 5 septembre);FEST_29039_1777;47.8966260003, -3.90716871821
Mois du graphisme d'Echirolles;Auvergne-Rhône-Alpes;Isère;38130;1991;Arts visuels, arts numériques;Après-saison (6 septembre - 31 décembre);FEST_38151_2080;45.1471647181, 5.71535600177
Zinc Grenadine - Fête régionale du livre jeunesse;Grand Est;Vosges;88000;2011;Livre, littérature;Saison (21 juin - 5 septembre);FEST_88160_2119;48.1631202656, 6.47989286928
